,Word,V,A,D
8979,pinball,6.1,4.95,6.07
8980,pinch,3.5,4.44,4.77
8981,pine,6.58,3.25,4.95
8982,pineapple,6.9,4.41,5.65
8983,ping,5.67,4.09,5.38
8984,pinhead,3.95,3.9,4.86
8985,pink,6.68,4.35,6.74
8986,pinkie,5.82,2.85,5.08
8987,pinnacle,5.26,4.32,5.92
8988,pinot,5.71,3.62,5.28
8989,pinpoint,5.27,4.16,6.48
8990,pint,5.53,3.52,5.18
8991,pinto,4.05,3.3,5.37
8992,pinup,5.74,4.91,5.29
8993,pioneer,6.0,3.43,6.31
8994,pious,3.95,3.0,4.25
8995,pipe,4.75,4.11,5.92
8996,pipeline,5.05,4.33,4.76
8997,piping,5.09,4.1,5.85
8998,pipsqueak,4.14,4.43,4.36
8999,piracy,5.65,5.64,4.38
9000,piranha,3.5,5.38,4.16
9001,pirate,4.19,5.26,3.81
9002,piss,2.73,4.74,5.63
9003,pisser,4.1,6.05,4.85
9004,pistachio,6.09,4.68,5.48
9005,pistol,3.92,5.79,4.53
9006,piston,4.57,4.85,5.55
9007,pit,3.85,3.5,4.04
9008,pita,5.95,4.0,6.05
9009,pitch,5.52,3.42,5.75
9010,pitcher,5.7,4.09,6.08
9011,pitchfork,3.53,4.35,4.6
9012,pithy,4.67,3.32,5.4
9013,pitiful,2.89,4.47,3.45
9014,pituitary,4.79,4.4,4.91
9015,pity,3.18,4.07,4.52
9016,pivot,4.95,3.29,5.87
9017,pivotal,5.19,3.41,5.52
9018,pixie,6.5,3.86,4.86
9019,pizza,7.89,4.58,5.47
9020,pizzazz,6.79,5.95,5.42
9021,pizzeria,6.52,5.41,5.86
9022,place,5.86,3.52,6.53
9023,placebo,4.6,3.32,4.58
9024,placement,4.96,3.48,6.2
9025,placenta,5.05,4.35,4.64
9026,placid,4.84,3.45,5.68
9027,plague,2.42,6.67,2.96
9028,plaid,5.71,3.72,5.64
9029,plain,5.08,2.68,5.56
9030,plainclothes,4.94,3.0,4.32
9031,plaintiff,4.0,3.86,4.25
9032,plan,6.14,3.86,6.28
9033,plane,5.72,4.91,5.07
9034,planet,6.27,4.35,6.11
9035,planetarium,6.9,3.72,4.71
9036,planetary,6.67,4.65,4.81
9037,plank,4.76,4.3,6.05
9038,plankton,5.36,3.6,4.41
9039,planner,6.32,4.0,5.83
9040,plant,7.05,3.94,6.45
9041,plantation,4.57,3.6,5.76
9042,planter,5.85,2.67,6.86
9043,plaque,3.38,4.52,5.32
9044,plasma,6.05,5.3,5.19
9045,plaster,5.24,3.9,4.89
9046,plastic,4.48,3.36,5.24
9047,plate,4.8,3.18,5.79
9048,plateau,5.84,3.68,5.63
9049,platform,5.0,4.18,6.42
9050,plating,5.14,3.29,6.33
9051,platinum,6.2,4.78,5.75
9052,platonic,4.63,3.0,5.52
9053,platoon,4.65,4.28,4.54
9054,platter,5.3,3.4,5.36
9055,plausible,5.38,3.09,5.5
9056,play,7.55,3.81,6.29
9057,playa,4.64,3.76,5.0
9058,playback,5.76,3.36,6.14
9059,playbook,6.14,4.53,6.43
9060,playboy,4.15,5.24,4.28
9061,player,5.55,5.95,5.68
9062,playful,7.63,5.89,6.81
9063,playground,7.14,4.67,6.32
9064,playhouse,6.29,3.57,5.7
9065,playmate,7.3,4.38,5.58
9066,playoff,5.14,5.36,6.36
9067,playpen,5.95,2.65,4.5
9068,playroom,6.05,4.29,6.38
9069,plaything,6.21,5.1,5.3
9070,playtime,6.63,5.1,6.96
9071,playwright,6.1,3.59,6.42
9072,plaza,6.33,3.9,4.96
9073,plea,4.35,4.64,4.93
9074,plead,3.26,4.32,3.42
9075,pleasant,7.24,2.91,6.7
9076,pleased,7.82,4.25,6.84
9077,pleasing,7.65,5.2,6.15
9078,pleasurable,7.75,6.33,6.76
9079,pleasure,7.8,6.8,7.18
9080,pledge,5.09,3.95,6.0
9081,pliers,4.48,3.55,5.76
9082,plight,4.21,3.85,4.8
9083,plop,5.5,3.77,5.24
9084,plot,4.9,4.52,5.29
9085,plow,5.09,4.04,6.26
9086,ploy,3.9,3.0,4.84
9087,pluck,3.9,4.16,5.73
9088,plucky,5.16,4.7,5.11
9089,plug,4.42,3.35,5.67
9090,plum,6.15,2.76,5.26
9091,plumber,5.4,3.18,5.59
9092,plumbing,4.45,3.36,5.5
9093,plume,5.19,3.0,4.77
9094,plummet,3.95,5.04,3.31
9095,plump,4.95,4.43,5.22
9096,plunder,4.0,5.05,4.46
9097,plunge,4.62,4.6,3.89
9098,plunger,4.25,3.15,5.2
9099,plural,4.81,3.4,5.78
9100,plush,6.32,3.05,5.62
9101,plutonium,4.05,4.45,4.15
9102,plywood,4.74,2.67,5.05
9103,pneumatic,4.5,3.9,4.67
9104,pneumonia,2.65,4.62,2.91
9105,poacher,3.1,4.86,4.67
9106,pocket,5.67,4.5,6.37
9107,pocketbook,5.6,3.42,6.42
9108,pocketful,6.25,2.72,6.36
9109,pod,5.0,3.32,5.11
9110,podium,5.05,3.52,4.61
9111,poem,6.62,4.15,6.31
9112,poet,6.85,2.91,5.84
9113,poetic,6.83,4.4,6.32
9114,poetry,6.15,3.59,5.83
9115,pogo,5.4,3.94,4.95
9116,poignant,5.1,4.09,6.44
9117,point,5.45,3.86,6.27
9118,pointer,4.57,3.73,6.12
9119,pointless,3.22,4.26,3.75
9120,pointy,4.26,4.55,5.04
9121,poise,5.5,3.77,6.2
9122,poison,2.16,6.01,3.38
9123,poisoning,2.27,6.35,3.74
9124,poisonous,2.52,5.67,4.0
9125,poke,4.14,5.41,6.74
9126,poker,5.79,5.05,5.67
9127,polar,5.19,3.95,4.1
9128,pole,5.6,3.05,4.59
9129,police,4.59,5.95,3.44
9130,policeman,4.21,4.06,5.76
9131,policewoman,5.05,3.92,5.12
9132,policy,3.77,3.3,6.11
9133,polio,2.67,5.0,3.44
9134,polish,6.0,3.36,6.38
9135,polite,6.57,2.95,7.4
9136,politeness,7.33,3.04,7.05
9137,political,4.35,4.0,4.08
9138,politician,3.25,4.7,4.1
9139,politics,4.0,3.44,3.42
9140,polka,4.79,4.17,5.04
9141,poll,4.63,4.14,5.4
9142,pollen,3.81,3.44,3.53
9143,polling,4.55,3.25,5.91
9144,pollute,1.88,4.91,4.47
9145,pollution,2.0,5.19,4.16
9146,polo,5.21,3.95,4.6
9147,poltergeist,4.4,5.55,4.05
9148,polyester,4.29,3.85,5.0
9149,polygraph,3.95,4.31,4.87
9150,polymer,5.35,3.0,5.08
9151,pomp,5.32,3.57,4.87
9152,pompous,3.26,4.76,3.9
9153,poncho,5.48,3.74,5.71
9154,pond,6.32,2.32,5.95
9155,ponder,5.65,3.95,5.62
9156,pong,5.05,4.0,5.6
9157,pony,6.71,4.29,5.9
9158,ponytail,7.05,3.53,5.52
9159,pooch,6.1,4.08,4.81
9160,poodle,6.1,3.6,6.38
9161,poof,5.7,3.8,4.73
9162,pool,6.78,3.65,6.39
9163,poop,2.6,5.14,4.48
9164,poor,3.67,4.67,4.0
9165,pop,6.05,4.45,5.68
9166,popcorn,7.26,5.23,5.39
9167,pope,5.18,4.21,4.24
9168,Pope,3.7,3.59,3.84
9169,popper,5.05,4.23,4.91
9170,poppycock,5.68,5.19,4.6
9171,popsicle,6.85,3.95,6.12
9172,popular,5.71,4.74,5.19
9173,popularity,5.81,4.32,5.89
9174,population,4.81,3.96,4.24
9175,porcelain,6.14,3.14,5.24
9176,porch,6.4,3.36,6.11
9177,porcupine,6.38,4.95,4.89
9178,pore,4.71,3.12,4.89
9179,pork,5.0,3.8,5.85
9180,porker,3.63,3.62,4.52
9181,porky,3.7,4.29,4.3
9182,porn,4.32,7.24,3.82
9183,porno,5.53,5.82,5.52
9184,pornographic,4.77,6.09,6.21
9185,pornography,3.85,6.0,4.14
9186,porridge,5.0,3.33,4.52
9187,port,5.55,3.38,5.92
9188,portable,5.91,3.38,6.86
9189,portal,5.37,3.59,5.23
9190,porterhouse,5.74,4.43,5.57
9191,portfolio,5.95,3.36,5.32
9192,porthole,4.86,3.25,5.45
9193,portion,5.16,3.91,5.05
9194,portrait,6.05,3.2,7.0
9195,portray,5.35,3.09,6.11
9196,pose,5.63,3.11,6.3
9197,posh,5.58,3.95,5.45
9198,position,5.56,3.35,4.72
9199,positioning,4.84,3.88,5.94
9200,positive,7.57,5.5,7.26
9201,posse,4.52,4.41,5.77
9202,possess,4.67,3.95,5.59
9203,possession,5.14,4.04,5.47
9204,possessive,3.26,4.86,5.26
9205,possibility,6.55,4.85,5.77
9206,possible,7.14,3.71,6.0
9207,possum,3.74,4.0,4.57
9208,post,5.05,3.58,6.32
9209,postage,5.09,2.57,4.36
9210,postal,5.21,3.41,4.83
9211,postcard,5.68,4.23,6.08
9212,poster,5.35,3.14,5.95
9213,posterior,5.33,2.9,5.12
9214,posterity,5.89,3.85,5.62
9215,postman,5.83,3.2,4.79
9216,postmortem,3.19,4.71,3.32
9217,postpone,4.32,2.94,4.76
9218,postponement,4.0,4.36,5.37
9219,posture,4.89,3.56,5.71
9220,pot,5.81,4.0,6.0
9221,potassium,6.1,2.43,5.16
9222,potato,6.4,2.38,5.46
9223,potatoes,6.11,2.95,5.95
9224,potency,5.84,4.45,6.37
9225,potent,4.9,5.05,5.91
9226,potential,6.86,4.09,6.47
9227,pothead,3.71,4.16,3.84
9228,pothole,3.54,4.79,4.33
9229,potion,5.65,5.12,4.96
9230,potluck,6.59,4.95,5.29
9231,potpourri,5.5,2.94,5.46
9232,potted,5.74,2.8,4.9
9233,pottery,5.79,2.75,6.0
9234,potty,4.29,2.83,5.39
9235,pouch,5.33,2.44,4.68
9236,poultry,5.67,3.95,5.67
9237,pounce,4.67,6.22,5.52
9238,pound,4.62,4.26,6.11
9239,pounding,4.1,4.71,4.0
9240,pour,5.16,3.28,5.35
9241,pout,3.33,4.14,5.52
9242,pouty,3.71,3.74,5.33
9243,poverty,2.0,5.3,3.16
9244,powder,5.26,2.77,6.05
9245,powdered,5.32,3.18,5.23
9246,power,5.97,5.41,6.17
9247,powerful,6.46,5.41,6.95
9248,powerhouse,5.3,6.12,5.96
9249,powerless,2.9,3.95,3.04
9250,powwow,5.74,4.76,5.39
9251,pox,2.62,4.4,3.36
9252,practical,5.63,3.5,6.04
9253,practice,5.72,2.5,6.11
9254,practitioner,5.05,4.86,5.3
9255,pragmatic,4.58,3.38,5.45
9256,prairie,5.33,2.41,5.38
9257,praise,7.65,5.45,6.57
9258,prance,6.0,5.05,6.1
9259,prank,4.79,5.36,4.74
9260,prawn,4.82,2.79,4.76
9261,pray,6.57,3.25,6.58
9262,prayer,5.67,4.04,6.37
9263,preach,4.15,3.71,5.68
9264,preacher,5.09,4.55,4.85
9265,precarious,4.5,3.7,3.94
9266,precaution,4.57,4.0,6.12
9267,precautionary,5.68,4.32,5.0
9268,precedence,5.38,3.8,6.11
9269,precedent,5.25,3.59,4.86
9270,precinct,4.85,3.95,4.88
9271,precious,6.84,3.64,5.75
9272,precipice,4.58,4.14,3.79
9273,precise,6.1,5.25,6.17
9274,precision,6.38,3.91,6.77
9275,precocious,5.8,3.5,4.81
9276,predator,3.24,4.72,3.86
9277,predatory,3.16,5.26,4.32
9278,predecessor,5.11,3.6,4.6
9279,predicament,4.11,5.3,3.95
9280,predict,6.29,4.68,5.23
9281,predictable,5.25,2.86,6.64
9282,prediction,5.62,5.6,5.5
9283,preemptive,4.26,3.77,5.39
9284,preface,5.52,2.9,4.77
9285,prefect,6.45,4.33,6.04
9286,prefer,5.62,4.65,6.89
9287,preferable,6.26,4.24,6.26
9288,preference,6.16,4.23,7.27
9289,preferential,5.15,3.68,5.38
9290,prefix,5.24,3.7,4.85
9291,pregnancy,4.79,5.0,4.56
9292,pregnant,7.17,5.7,4.06
9293,prehistoric,5.68,4.55,4.5
9294,prejudice,2.71,5.35,3.81
9295,prejudiced,2.7,4.89,3.79
9296,prejudicial,3.16,5.1,4.3
9297,prelim,5.2,3.62,5.14
9298,preliminary,4.73,3.73,5.37
9299,prelude,6.05,3.9,5.57
9300,premarital,5.73,4.76,5.86
9301,premature,4.1,4.62,4.4
9302,premed,4.6,4.22,5.71
9303,premier,5.37,4.62,5.48
9304,premiere,6.47,5.3,5.45
9305,premise,5.43,4.25,4.86
9306,premises,5.05,4.0,5.63
9307,premium,6.9,5.5,5.86
9308,premonition,5.11,4.64,5.3
9309,prenatal,5.9,3.55,4.18
9310,prenuptial,4.84,5.29,5.77
9311,preoccupied,4.24,4.13,4.24
9312,prep,5.29,3.19,6.45
9313,preparation,5.62,3.77,6.57
9314,prepare,5.32,4.15,7.26
9315,preposterous,5.0,5.95,5.14
9316,preppy,4.96,4.35,6.05
9317,prerogative,5.32,4.55,6.32
9318,preschool,6.05,3.35,4.54
9319,prescribe,5.21,3.23,5.71
9320,prescription,4.55,3.14,5.0
9321,presence,5.75,3.6,5.59
9322,present,6.85,4.82,6.65
9323,presentable,6.82,4.31,6.08
9324,presentation,4.9,4.65,4.62
9325,presenter,5.71,5.28,5.57
9326,preservation,6.68,4.6,6.0
9327,preserve,4.9,3.0,6.0
9328,presidency,5.65,4.58,4.96
9329,president,5.23,4.71,4.38
9330,President,5.19,3.83,4.52
9331,presidential,4.95,4.06,5.18
9332,press,5.39,2.8,4.78
9333,pressure,3.56,4.48,4.4
9334,prestige,6.23,3.91,6.79
9335,prestigious,6.47,5.23,6.27
9336,presume,4.0,3.4,5.73
9337,presumption,4.42,4.5,5.69
9338,presumptuous,4.1,3.47,4.81
9339,pretend,4.62,4.3,5.58
9340,pretender,3.6,5.55,4.77
9341,pretense,4.6,4.61,4.86
9342,pretentious,3.76,4.09,5.29
9343,pretext,4.61,3.11,4.92
9344,pretty,7.7,5.5,6.7
9345,pretzel,6.81,5.7,5.69
9346,prevail,5.73,4.55,6.58
9347,prevailing,5.09,4.36,5.65
9348,prevent,5.42,4.18,6.21
9349,prevention,5.74,3.14,5.16
9350,preview,5.74,3.7,5.48
9351,previous,4.74,3.59,5.12
9352,prey,3.74,4.56,3.24
9353,price,4.94,3.4,4.61
9354,priceless,6.95,5.23,6.76
9355,pricey,4.05,4.45,3.54
9356,prick,2.81,4.26,4.58
9357,prickly,3.59,5.21,4.76
9358,pride,6.5,5.54,5.83
9359,priest,4.5,3.76,5.82
9360,priestess,5.42,3.35,5.3
9361,priesthood,5.0,2.55,4.96
9362,prig,3.86,3.29,4.55
9363,prima,4.6,3.65,6.24
9364,primal,4.79,5.38,4.52
9365,primary,5.32,3.25,6.35
9366,primate,5.84,2.95,4.18
9367,prime,6.0,4.71,6.33
9368,primer,5.35,4.55,5.69
9369,primitive,4.1,3.62,3.38
9370,primordial,4.91,4.88,5.58
9371,primrose,5.33,3.62,5.59
9372,prince,5.44,5.15,4.39
9373,princess,7.64,5.42,5.74
9374,principal,5.3,4.3,5.26
9375,principle,5.0,3.27,5.48
9376,principles,5.45,3.39,6.63
9377,print,5.65,2.74,6.67
9378,printer,5.65,3.68,6.11
9379,printing,5.35,2.74,5.09
9380,printout,5.24,3.35,5.72
9381,prior,4.32,3.0,5.17
9382,prioritize,5.95,4.38,6.55
9383,priority,6.17,4.85,5.92
9384,prison,1.94,5.1,3.54
9385,prisoner,2.67,5.0,2.41
9386,prissy,3.95,4.09,5.7
9387,pristine,5.81,3.48,6.18
9388,privacy,6.36,3.95,6.9
9389,private,5.44,3.62,4.33
9390,privilege,5.81,3.71,6.0
9391,privileged,5.58,4.67,6.27
9392,privy,4.42,3.24,4.61
9393,prize,8.0,5.5,6.16
9394,prized,6.2,4.48,6.38
9395,pro,6.36,3.81,6.32
9396,proactive,6.06,3.4,7.32
9397,probability,5.0,3.81,5.12
9398,probable,5.45,3.35,5.38
9399,probate,4.05,4.43,4.76
9400,probation,3.6,4.3,3.67
9401,probe,3.63,4.48,4.18
9402,probing,3.83,4.5,4.44
9403,problem,3.52,4.81,4.94
9404,problematic,2.58,4.8,4.65
9405,procedural,4.71,4.2,4.36
9406,procedure,4.28,4.15,4.24
9407,proceed,5.7,3.43,6.38
9408,proceeds,5.79,3.65,5.92
9409,process,5.62,3.9,6.11
9410,processing,5.53,3.39,6.0
9411,procession,5.14,4.14,5.08
9412,processor,5.26,3.5,5.09
9413,proclaim,5.38,4.84,6.1
9414,proclamation,5.71,4.3,5.95
9415,procreate,5.33,4.7,5.64
9416,procreation,5.14,6.04,6.67
9417,proctologist,3.1,4.68,3.89
9418,procure,5.42,4.25,5.42
9419,prod,4.65,4.23,5.3
9420,prodigal,5.53,3.57,5.87
9421,prodigious,5.19,3.45,5.67
9422,prodigy,5.8,5.35,5.96
9423,produce,6.57,3.23,6.57
9424,producer,6.15,3.89,5.81
9425,product,5.5,3.45,6.04
9426,production,6.06,4.78,6.05
9427,productive,7.37,4.6,6.43
9428,productivity,6.55,5.1,6.58
9429,profane,2.47,4.55,3.91
9430,profanity,3.43,5.52,5.48
9431,profession,5.52,3.33,6.48
9432,professional,6.29,4.4,6.74
9433,professionalism,6.16,3.73,6.61
9434,professor,5.72,3.85,4.44
9435,proficiency,6.79,3.86,6.86
9436,proficient,6.44,3.43,6.43
9437,profile,5.94,2.6,5.32
9438,profiler,4.43,4.43,4.77
9439,profit,6.95,5.24,5.65
9440,profitable,6.5,5.61,5.76
9441,profound,6.65,4.14,5.4
9442,prognosis,3.83,4.67,5.14
9443,program,5.5,3.9,6.53
9444,programmer,5.05,3.59,5.8
9445,programming,5.11,3.5,6.24
9446,progress,6.58,3.82,6.55
9447,progression,6.21,2.95,6.18
9448,progressive,6.26,4.38,6.61
9449,prohibit,4.29,4.56,2.95
9450,prohibition,2.84,4.04,4.14
9451,project,5.0,4.55,7.63
9452,projectile,3.85,3.67,4.12
9453,projecting,5.4,3.75,4.92
9454,projection,5.2,3.6,5.05
9455,projector,5.42,3.78,5.24
9456,prologue,5.89,3.2,5.92
9457,prolong,3.89,3.29,4.45
9458,prolonged,4.74,3.36,5.0
9459,prom,5.9,4.27,5.09
9460,promenade,6.19,3.32,5.77
9461,prominent,5.21,4.05,5.55
9462,promiscuity,3.95,6.0,5.41
9463,promiscuous,3.32,5.81,4.9
9464,promise,6.64,3.9,6.47
9465,promising,6.95,4.7,6.33
9466,promo,6.15,4.09,6.24
9467,promote,6.55,4.7,6.08
9468,promoter,5.3,4.36,5.25
9469,promotion,7.1,5.21,6.0
9470,promotional,5.45,4.77,6.53
9471,prompt,6.33,2.9,5.92
9472,prone,4.7,3.68,5.4
9473,pronounce,5.61,2.75,5.84
9474,pronto,5.7,4.05,5.81
9475,pronunciation,6.2,4.2,6.38
9476,proof,6.38,4.15,7.05
9477,prop,5.16,3.15,5.0
9478,propaganda,3.36,5.0,3.42
9479,propane,4.26,3.64,5.6
9480,propeller,4.95,3.53,4.91
9481,proper,5.68,2.85,7.15
9482,property,6.0,4.75,6.68
9483,prophecy,5.62,4.38,4.7
9484,prophet,5.32,3.05,4.68
9485,prophetic,5.25,4.05,4.74
9486,proportion,5.2,3.73,5.68
9487,proposal,5.45,4.73,6.63
9488,propose,6.26,4.77,5.77
9489,proposition,5.84,4.86,6.18
9490,proprietary,4.55,3.39,5.44
9491,proprietor,5.48,4.0,5.5
9492,propriety,5.14,4.14,5.58
9493,propulsion,4.85,5.0,5.21
9494,prose,6.43,3.4,5.0
9495,prosecute,3.15,4.62,5.12
9496,prosecution,3.37,4.56,2.88
9497,prosecutor,3.55,6.17,5.12
9498,prospect,5.78,3.68,5.52
9499,prospective,5.76,4.78,5.75
9500,prospector,4.84,3.74,4.86
9501,prospectus,5.74,3.87,5.16
9502,prosper,7.67,6.0,5.11
9503,prosperity,7.1,5.3,6.55
9504,prosperous,7.16,6.0,6.76
9505,prostate,4.0,4.7,4.2
9506,prosthetic,4.1,3.42,5.05
9507,prostitute,3.42,4.86,3.91
9508,prostitution,2.79,6.05,4.68
9509,prostrate,3.62,4.6,4.32
9510,protect,6.83,3.7,5.83
9511,protected,7.05,3.81,6.04
9512,protection,6.73,4.32,6.71
9513,protective,6.53,3.96,6.61
9514,protector,7.37,4.23,6.21
9515,protein,6.55,2.95,5.08
9516,protest,4.42,4.18,4.93
9517,protestant,4.5,3.0,4.95
9518,protocol,5.1,3.83,4.05
9519,proton,6.26,3.36,4.32
9520,prototype,6.48,3.92,6.68
9521,proud,7.0,5.55,7.09
9522,prove,6.0,3.25,5.78
9523,proverb,5.95,3.55,6.14
9524,proverbial,5.32,3.24,5.25
9525,provide,6.67,4.76,5.96
9526,provider,6.26,3.73,6.32
9527,province,5.14,3.33,5.18
9528,provincial,5.22,2.85,5.0
9529,provision,5.74,4.19,6.14
9530,provisional,4.78,3.12,5.08
9531,provocation,3.89,5.11,4.32
9532,provocative,5.47,5.9,4.8
9533,provoke,3.3,6.72,5.23
9534,prowess,5.95,5.25,6.29
9535,prowl,3.39,4.32,5.04
9536,prowler,2.84,5.48,3.4
9537,proximal,4.45,3.59,5.42
9538,proximity,4.47,3.85,6.15
9539,proxy,4.95,3.2,4.41
9540,prude,3.17,3.32,4.12
9541,prudence,5.38,4.12,5.45
9542,prudent,5.29,3.44,5.95
9543,prune,4.61,3.14,5.55
9544,pruning,5.43,2.83,6.06
9545,pry,3.57,5.3,4.85
9546,psalm,6.16,3.14,5.5
9547,psi,4.59,3.92,6.25
9548,psoriasis,2.52,4.24,3.35
9549,psych,4.67,4.6,4.05
9550,psyche,5.0,4.61,4.59
9551,psychedelic,4.68,5.64,4.0
9552,psychiatric,3.32,4.52,4.76
9553,psychiatrist,4.11,4.25,4.1
9554,psychiatry,4.61,4.6,4.71
9555,psychic,5.67,4.71,5.43
9556,psycho,3.2,6.0,3.1
9557,psychoanalysis,4.47,5.57,3.83
9558,psychoanalyst,5.35,4.59,4.48
9559,psychobabble,4.16,4.25,5.26
9560,psychological,4.77,4.81,5.33
9561,psychologist,5.05,3.78,4.53
9562,psychology,4.81,3.41,4.38
9563,psychopath,2.62,5.41,3.52
9564,psychopathic,2.8,6.0,2.86
9565,psychosis,2.65,6.0,3.52
9566,psychosomatic,3.71,5.12,3.23
9567,psychotherapy,4.26,4.32,4.05
9568,psychotic,3.3,6.14,3.05
9569,pterodactyl,5.71,4.45,5.48
9570,pub,5.45,4.36,5.68
9571,puberty,4.3,4.14,3.6
9572,pubes,4.0,4.76,4.41
9573,pubic,4.73,5.24,6.09
9574,public,5.33,3.35,4.94
9575,publication,5.48,2.79,4.63
9576,publicist,4.32,3.62,6.08
9577,publicity,4.89,4.57,4.6
9578,publish,5.91,3.67,6.44
9579,publisher,5.05,3.39,5.54
9580,publishing,5.14,2.96,5.42
9581,puck,4.28,4.64,4.82
9582,pucker,5.58,4.73,5.56
9583,pudding,6.72,3.8,5.46
9584,puddle,4.3,4.33,4.73
9585,pudgy,3.81,3.5,3.18
9586,puff,5.45,3.43,5.71
9587,puffing,4.06,4.53,5.08
9588,puffy,4.78,4.5,5.05
9589,pug,5.9,3.55,5.9
9590,puke,1.84,5.05,3.09
9591,pull,5.59,4.1,6.0
9592,pulley,5.0,4.0,5.71
9593,pulmonary,4.77,3.73,4.79
9594,pulp,4.94,3.82,4.18
9595,pulpit,4.05,2.9,4.92
9596,pulsar,5.32,4.72,4.76
9597,pulse,6.38,4.85,4.77
9598,pump,4.0,4.0,5.74
9599,pumpkin,7.0,3.43,5.35
9600,pun,5.45,3.94,5.68
9601,punch,3.27,5.8,5.26
9602,punchy,4.78,4.32,3.96
9603,punctual,5.73,4.27,6.85
9604,punctuality,6.72,3.85,5.84
9605,punctuation,5.55,2.86,5.58
9606,puncture,4.33,3.83,5.35
9607,pungent,3.71,4.52,4.37
9608,punish,2.86,5.85,3.81
9609,punishable,3.42,4.71,4.22
9610,punishment,2.76,5.07,4.11
9611,punitive,2.95,4.62,4.08
9612,punk,4.25,4.14,3.96
9613,punt,4.62,4.0,5.31
9614,puny,4.0,3.27,4.04
9615,pup,7.53,4.5,6.15
9616,pupil,5.53,3.76,5.17
9617,puppet,5.56,4.43,4.94
9618,puppeteer,5.8,4.22,5.86
9619,puppy,7.85,5.84,6.24
9620,purchase,6.47,5.1,6.64
9621,pure,6.8,4.05,6.44
9622,purgatory,3.17,4.41,3.47
9623,purge,3.61,5.45,4.68
9624,purification,6.95,4.15,6.54
9625,purify,6.95,4.88,6.77
9626,purity,6.57,3.0,5.78
9627,purple,5.6,4.05,5.85
9628,purpose,6.67,5.05,7.42
9629,purr,6.43,3.84,6.53
9630,purse,5.95,3.21,5.68
9631,pursue,5.39,4.45,6.12
9632,pursuit,4.79,5.67,5.46
9633,pus,2.52,5.0,3.55
9634,push,5.39,4.4,4.06
9635,pusher,3.52,4.63,4.71
9636,pushover,4.1,3.9,4.64
9637,pushy,3.1,4.6,4.23
9638,puss,3.7,3.71,4.7
9639,pussy,4.48,6.3,4.83
9640,pussycat,5.26,4.0,4.75
9641,put,5.09,3.86,5.94
9642,putrid,2.8,4.32,3.35
9643,putt,5.29,2.77,5.5
9644,putter,5.42,3.17,4.88
9645,putty,5.15,2.9,4.52
9646,puzzle,6.53,4.42,5.86
9647,puzzled,4.6,4.43,4.81
9648,pylon,4.43,3.41,5.41
9649,pyramid,5.68,3.48,5.71
9650,python,3.61,5.91,3.56
9651,quad,4.62,4.2,5.76
9652,quadrant,4.68,3.77,4.89
9653,quadruple,4.79,4.24,5.05
9654,quail,5.43,2.67,5.2
9655,quaint,5.9,3.52,4.16
9656,quake,3.3,6.9,2.71
9657,qualifications,5.37,4.76,6.19
9658,qualify,6.77,6.05,6.48
9659,quality,6.86,3.65,6.46
9660,quandary,4.68,3.59,4.19
9661,quantity,5.33,3.84,5.86
9662,quantum,5.15,4.67,4.85
9663,quarantine,2.84,5.39,2.95
9664,quarrel,2.84,5.39,4.76
9665,quarry,4.74,3.57,5.74
9666,quart,4.89,3.73,5.92
9667,quarter,5.61,3.85,6.04
9668,quarterback,5.48,3.58,5.4
9669,quarterly,4.95,3.2,5.11
9670,quartermaster,4.59,4.0,5.65
9671,quartet,6.0,3.09,5.14
9672,quartz,5.73,4.23,5.88
9673,quasi,4.53,5.0,4.43
9674,queasy,2.74,4.82,4.23
9675,queen,6.52,5.05,6.04
9676,queer,4.74,3.95,4.44
9677,quench,5.82,4.7,6.11
9678,query,5.24,3.76,5.68
9679,quest,6.26,5.8,6.0
9680,question,6.36,3.67,5.88
9681,questionable,4.48,3.55,4.56
9682,questionnaire,4.9,3.43,5.64
9683,queue,5.26,3.1,5.17
9684,quibble,4.05,3.7,4.59
9685,quiche,5.47,3.15,5.15
9686,quick,6.08,5.16,6.18
9687,quickie,6.64,6.29,5.77
9688,quicksand,3.62,4.42,3.9
9689,quiet,6.47,1.95,5.8
9690,quilt,5.91,3.11,5.62
9691,quince,5.16,3.6,5.04
9692,quintet,5.6,3.33,4.73
9693,quirk,5.6,3.59,5.7
9694,quirky,6.43,4.35,5.82
9695,quit,3.72,4.05,4.39
9696,quitter,2.95,5.43,5.62
9697,quiver,4.52,4.45,4.7
9698,quivering,4.19,4.68,3.95
9699,quiz,4.53,4.95,4.9
9700,quota,4.1,4.09,5.89
9701,quote,5.85,2.95,5.89
9702,rabbi,4.79,4.0,4.32
9703,rabbit,7.21,3.98,5.95
9704,rabble,4.77,3.14,5.18
9705,rabid,2.95,6.62,3.17
9706,rabies,2.17,5.99,3.47
9707,raccoon,5.85,5.16,5.19
9708,race,5.44,5.2,4.56
9709,racehorse,5.78,4.95,5.6
9710,racer,5.26,5.86,5.8
9711,racetrack,5.76,5.24,5.04
9712,racial,3.65,4.05,4.0
9713,racism,1.48,5.88,4.46
9714,racist,2.05,4.84,4.37
9715,rack,5.55,4.52,5.12
9716,racket,3.95,4.33,4.45
9717,racketeering,3.25,3.65,4.22
9718,racquetball,5.05,5.05,5.84
9719,racy,4.63,5.39,6.04
9720,radar,5.32,4.55,5.63
