Word,V,A,D
arithmetical,4.95,4.0,5.54
Ark_of_the_Covenant,6.15,3.52,5.88
Ark,6.15,3.52,5.88
fortify,5.245333333333333,3.9699999999999998,5.679999999999999
weapon_system,4.821428571428572,3.7357142857142853,5.404285714285714
build_up,5.648249999999999,4.019500000000001,5.909750000000001
gird,4.899,4.199,5.3759999999999994
equipping,5.05,4.65,5.37
arming,5.05,4.65,5.37
armour,5.885,3.4050000000000002,6.0
panoplied,5.885,3.4050000000000002,6.0
armoured,5.885,3.4050000000000002,6.0
armoury,5.0375,4.26,5.272500000000001
axilla,4.1,3.57,5.24
axillary_cavity,4.1,3.57,5.24
axillary_fossa,4.1,3.57,5.24
U._S._Army,4.65,4.49,4.65
regular_army,4.65,4.49,4.65
United_States_Army,4.65,4.49,4.65
Army,4.65,4.49,4.65
USA,4.65,4.49,4.65
ground_forces,4.65,4.49,4.65
US_Army,4.65,4.49,4.65
odour,5.762352941176471,4.365882352941176,5.5858823529411765
olfactory_property,5.762352941176471,4.365882352941176,5.5858823529411765
conjure_up,5.732711864406779,4.785084745762713,5.553050847457625
kindle,5.361044776119402,4.901194029850746,5.3561194029850725
bring_up,5.443000000000001,4.394384615384612,5.511923076923076
perk_up,5.948913043478259,4.946521739130435,5.65
energise,5.741764705882353,5.011176470588236,5.569411764705883
enkindle,5.361044776119402,4.901194029850746,5.3561194029850725
put_forward,5.642528735632184,4.519425287356321,5.590344827586207
call_forth,5.53079365079365,4.846825396825398,5.4217460317460295
waken,5.71121212121212,5.458484848484848,5.6512121212121205
come_alive,5.838333333333332,5.474333333333334,5.707000000000002
evoke,5.338586956521739,4.7565217391304335,5.373586956521738
wind_up,5.26592105263158,4.799736842105263,5.350394736842105
call_down,5.142156862745097,4.671960784313724,5.264705882352942
wake_up,5.71121212121212,5.458484848484848,5.6512121212121205
stimulated,5.976086956521739,5.569565217391304,5.635652173913043
turned_on,5.886,5.4563999999999995,5.642400000000001
ruttish,5.886,5.4563999999999995,5.642400000000001
randy,5.886,5.4563999999999995,5.642400000000001
wound_up,5.976086956521739,5.569565217391304,5.635652173913043
worked_up,5.537586206896552,5.522758620689656,5.476206896551725
stirred,5.976086956521739,5.569565217391304,5.635652173913043
stirred_up,5.976086956521739,5.569565217391304,5.635652173913043
coiffe,5.51983870967742,3.8508064516129017,5.765161290322579
fix_up,5.4975000000000005,3.5762500000000004,5.915
coif,5.5275,3.850937499999999,5.771562499999999
set_up,5.494634146341465,3.9908780487804876,5.644682926829271
coiffure,5.5275,3.850937499999999,5.771562499999999
arranging,5.571428571428571,3.5228571428571422,5.775714285714286
musical_arrangement,5.63,3.5216666666666665,5.8066666666666675
regalia,5.653333333333333,3.643333333333333,5.713333333333334
set_out,5.410416666666666,3.982916666666667,5.595833333333336
lay_out,5.614819277108432,4.00578313253012,5.7946987951807225
turn_back,4.979909090909089,4.039363636363637,5.295454545454547
stoppage,4.842264150943395,3.978584905660378,5.219811320754717
hold_back,5.131194029850745,4.020746268656716,5.369402985074628
cardiac_arrhythmia,3.86,4.95,4.25
comer,6.67,3.6,6.53
arriver,6.67,3.6,6.53
reaching,5.726400000000001,4.104,5.9244
make_it,5.298113207547169,4.1709433962264155,5.458301886792453
go_far,6.046666666666667,4.08,6.1433333333333335
get_in,5.673333333333333,4.125,6.1225
high-handedness,2.55,4.65,5.0
hauteur,2.55,4.65,5.0
haughtiness,2.55,4.65,5.0
lordliness,4.875,4.18,5.925
self-important,2.52,5.15,4.64
chesty,2.52,5.15,4.64
As,5.004444444444444,4.508888888888889,5.115555555555555
arsenic_trioxide,3.0,4.7,3.46
white_arsenic,3.0,4.7,3.46
atomic_number_33,5.004444444444444,4.508888888888889,5.115555555555555
arsenous_anhydride,3.0,4.7,3.46
ratsbane,3.0,4.7,3.46
arsenous_oxide,3.0,4.7,3.46
incendiarism,2.26,5.41,3.78
fire-raising,2.26,5.41,3.78
firebug,2.5,6.95,3.42
incendiary,2.75,5.8100000000000005,3.795
fine_art,6.628,4.654,6.214
artistic_production,6.628,4.654,6.214
artistic_creation,6.628,4.654,6.214
nontextual_matter,6.373333333333334,4.661666666666667,6.0249999999999995
arterial_blood_vessel,4.29,4.09,4.78
arteria,4.29,4.09,4.78
globe_artichoke,5.3,3.5,5.48
Cynara_scolymus,5.3,3.5,5.48
artichoke_plant,5.3,3.5,5.48
give_voice,5.6358823529411755,4.293529411764705,5.8599999999999985
vocalize,5.987391304347827,3.8743478260869573,5.7534782608695645
enunciate,5.527142857142857,3.6314285714285717,5.728571428571429
enounce,5.527142857142857,3.6314285714285717,5.728571428571429
vocalise,5.987391304347827,3.8743478260869573,5.7534782608695645
articulated,5.697142857142857,3.6557142857142857,6.081428571428572
sound_out,5.527142857142857,3.6314285714285717,5.728571428571429
artefact,6.2,4.95,5.73
contrived,4.96,4.01,5.21
stilted,4.96,4.01,5.21
artillery_unit,4.0575,5.352499999999999,4.83
heavy_weapon,4.21909090909091,5.35,4.77
creative_person,6.76,4.1,6.95
climb_up,5.701111111111112,4.328611111111112,5.589999999999999
dominating,4.648000000000001,4.513,5.412
ascensive,5.663333333333334,3.526666666666667,5.546666666666667
ascent,5.729749999999999,4.45425,5.7415
rising,5.526785714285714,4.423214285714287,5.625357142857143
Ascension_of_Christ,5.546666666666667,4.796666666666667,6.053333333333334
Ascension,5.546666666666667,4.796666666666667,6.053333333333334
Ascension_of_the_Lord,5.546666666666667,4.796666666666667,6.053333333333334
Ascension_Day,5.546666666666667,4.796666666666667,6.053333333333334
find_out,5.471755725190839,3.973358778625954,5.650152671755723
see_to_it,5.476818181818182,4.038636363636364,5.722840909090911
fatuous,3.8560000000000003,3.8880000000000003,4.296
vacuous,4.4425,3.8184999999999993,4.424999999999999
enquire,5.734285714285714,4.455,5.557857142857143
call_for,5.500722891566266,4.091927710843374,5.701445783132534
postulate,5.367307692307693,4.142948717948717,5.631538461538462
necessitate,5.479117647058824,4.0672058823529404,5.695
at_peace,4.073076923076922,4.218461538461538,4.313846153846153
benumbed,3.848333333333333,3.258333333333333,4.001666666666667
departed,4.213888888888889,4.1594444444444445,4.4094444444444445
gone,4.2,4.174736842105264,4.415263157894737
at_rest,4.073076923076922,4.218461538461538,4.313846153846153
Asparagus_officinales,5.43,2.73,5.67
edible_asparagus,5.43,2.73,5.67
panorama,5.760000000000001,3.955000000000001,5.630625
facet,5.9628571428571435,3.5714285714285707,5.8757142857142854
facial_expression,5.602631578947367,3.892368421052632,5.711315789473685
vista,5.760000000000001,3.955000000000001,5.630625
mineral_pitch,4.46,3.2,4.62
breathing_in,6.0625,4.105,5.6899999999999995
acetylsalicylic_acid,5.3,3.35,5.12
St._Joseph,5.3,3.35,5.12
Empirin,5.3,3.35,5.12
Bayer,5.3,3.35,5.12
aspirant,6.32375,4.510000000000001,6.172499999999999
buns,4.718958333333333,4.348333333333334,5.041250000000001
nates,4.718958333333333,4.348333333333334,5.041250000000001
nooky,5.136111111111111,4.6127777777777785,5.117222222222223
derriere,4.718958333333333,4.348333333333334,5.041250000000001
arse,4.578653846153847,4.443461538461538,4.94721153846154
American_Samoa,5.004444444444443,4.50888888888889,5.115555555555556
hind_end,4.718958333333333,4.348333333333334,5.041250000000001
keister,4.718958333333333,4.348333333333334,5.041250000000001
rear_end,4.718958333333333,4.348333333333334,5.041250000000001
piece_of_ass,5.136111111111111,4.6127777777777785,5.117222222222223
roll_in_the_hay,5.207179487179487,4.616923076923075,5.293974358974359
behind,4.627314814814816,4.243055555555555,5.02527777777778
nookie,5.136111111111111,4.6127777777777785,5.117222222222223
shtup,5.136111111111111,4.6127777777777785,5.117222222222223
screwing,5.136111111111111,4.6127777777777785,5.117222222222223
tail_end,4.718958333333333,4.348333333333334,5.041250000000001
Eastern_Samoa,5.004444444444443,4.50888888888889,5.115555555555556
fundament,4.8501550387596915,4.177751937984497,5.16906976744186
hindquarters,4.718958333333333,4.348333333333334,5.041250000000001
prat,4.718958333333333,4.348333333333334,5.041250000000001
tooshie,4.718958333333333,4.348333333333334,5.041250000000001
fanny,4.718958333333333,4.348333333333334,5.041250000000001
piece_of_tail,5.136111111111111,4.6127777777777785,5.117222222222223
tush,4.718958333333333,4.348333333333334,5.041250000000001
AS,5.004444444444443,4.50888888888889,5.115555555555556
bravo,2.11,5.82,3.36
assassinator,2.11,5.82,3.36
character_assassination,1.83,6.2,4.0
blackwash,1.83,6.2,4.0
lash_out,4.274347826086958,4.829130434782608,4.7873913043478264
dishonour,3.7219444444444445,4.781944444444445,4.555555555555556
ravish,4.870943396226415,4.82,5.01754716981132
snipe,4.274347826086958,4.829130434782608,4.7873913043478264
assail,4.274347826086958,4.829130434782608,4.7873913043478264
ravishment,2.986428571428571,5.309285714285713,3.801428571428571
Assault,2.715,5.65125,3.6062499999999997
set_on,3.631428571428571,5.300714285714285,4.248571428571428
put_together,5.2865,3.649000000000001,5.522
foregather,5.6852,3.9067999999999996,5.782800000000001
get_together,5.743055555555556,3.863888888888888,5.8475
tack_together,5.2865,3.649000000000001,5.522
forgather,5.6852,3.9067999999999996,5.782800000000001
assemblage,5.242857142857143,4.2542857142857144,5.527142857142858
gathering,5.422499999999999,3.8725,5.69
meeting_place,4.84,4.176666666666667,5.366666666666667
affirm,5.393617021276597,3.8985106382978723,5.657021276595745
swan,4.993490566037739,4.049245283018868,5.33764150943396
avow,4.982500000000001,4.5,5.55
asseverate,5.416666666666667,4.121999999999999,5.952666666666667
self-assertive,5.37,5.55,6.04
self-asserting,5.37,5.55,6.04
appraise,5.423913043478262,4.2117391304347835,5.466086956521738
valuate,5.3521052631578945,4.354736842105264,5.376578947368421
judgement,5.871739130434783,4.202608695652174,5.903478260869565
plus,6.121666666666666,4.2250000000000005,5.805
mother_fucker,3.73531914893617,4.74595744680851,4.511276595744682
arsehole,2.895,5.584999999999999,3.8187500000000005
SOB,3.73531914893617,4.74595744680851,4.511276595744682
son_of_a_bitch,3.73531914893617,4.74595744680851,4.511276595744682
whoreson,3.7014000000000005,4.7658,4.49
impute,5.356666666666667,4.004444444444444,5.728888888888888
depute,5.193076923076922,4.123076923076923,5.527692307692306
arrogate,5.031875000000001,4.106562500000001,5.179062499999999
ascribe,5.356666666666667,4.004444444444444,5.728888888888888
set_apart,5.349473684210526,4.146315789473683,5.786315789473685
assigning,4.91,4.625,6.34
duty_assignment,4.91,4.625,6.34
wait_on,5.73875,3.8487500000000003,6.060625
attend_to,5.73875,3.8487500000000003,6.060625
affiliate,5.943999999999999,3.6674999999999995,5.5825
assort,5.588333333333332,3.7922222222222217,5.529166666666667
associate_degree,6.208888888888889,3.4966666666666666,5.924444444444443
link_up,5.667631578947371,3.7976315789473687,5.685526315789475
consociate,6.208888888888889,3.4966666666666666,5.924444444444443
tie_in,5.9245,3.6919999999999993,5.8035
colligate,5.9245,3.6919999999999993,5.8035
connexion,5.737142857142857,3.544285714285714,5.683571428571429
sort,5.265303030303031,3.873333333333333,5.465151515151514
sundry,5.3671428571428565,3.8085714285714287,5.347142857142857
sort_out,5.602153846153847,4.048307692307692,5.695846153846155
mixed,5.3671428571428565,3.8085714285714287,5.347142857142857
compartmentalisation,5.5183333333333335,3.65,5.544999999999999
miscellanea,5.7056249999999995,3.675625,5.7056249999999995
categorization,5.5183333333333335,3.65,5.544999999999999
salmagundi,5.7056249999999995,3.675625,5.7056249999999995
categorisation,5.5183333333333335,3.65,5.544999999999999
mixed_bag,5.7056249999999995,3.675625,5.7056249999999995
miscellany,5.7056249999999995,3.675625,5.7056249999999995
smorgasbord,5.7056249999999995,3.675625,5.7056249999999995
compartmentalization,5.5183333333333335,3.65,5.544999999999999
take_for_granted,4.920714285714285,4.228571428571429,5.047857142857143
don,5.0955172413793095,4.047931034482759,5.215172413793104
get_into,5.002903225806451,4.115483870967742,5.417096774193548
usurp,4.830000000000001,4.312380952380953,4.9157142857142855
laying_claim,4.716666666666666,4.296666666666667,5.193333333333334
Assumption,4.716666666666666,4.296666666666667,5.193333333333334
effrontery,4.716666666666666,4.296666666666667,5.193333333333334
presumptuousness,4.716666666666666,4.296666666666667,5.193333333333334
supposition,5.158,4.1739999999999995,5.282
supposal,4.716666666666666,4.296666666666667,5.193333333333334
Assumption_of_Mary,4.716666666666666,4.296666666666667,5.193333333333334
premiss,5.1049999999999995,4.0566666666666675,5.47
August_15,4.716666666666666,4.296666666666667,5.193333333333334
self-confidence,5.454166666666667,4.09,5.5683333333333325
self-assurance,5.454166666666667,4.09,5.5683333333333325
sureness,5.454166666666667,4.09,5.5683333333333325
star-shaped,4.95,5.6,3.68
bronchial_asthma,2.45,4.5,3.54
asthma_attack,2.45,4.5,3.54
wheezy,3.33,3.38,3.84
wheezing,3.33,3.38,3.84
astounding,6.667999999999999,5.45,5.89
stupefying,6.667999999999999,5.45,5.89
staggering,6.667999999999999,5.45,5.89
star_divination,4.79,4.18,4.67
cosmonaut,6.4350000000000005,4.050000000000001,5.085
stargazer,5.59,5.42,5.33
uranologist,5.59,5.42,5.33
astronomic,6.6850000000000005,5.4,4.955
uranology,6.0,4.33,5.21
mental_hospital,5.622,4.076,5.372
mental_home,5.622,4.076,5.372
insane_asylum,5.622,4.076,5.372
psychiatric_hospital,5.622,4.076,5.372
mental_institution,5.622,4.076,5.372
atheistic,4.64,4.76,5.41
atheistical,4.64,4.76,5.41
jock,5.96076923076923,4.271538461538461,6.001538461538463
gymnastic,6.76,5.0,6.11
acrobatic,6.76,5.0,6.11
athletic_contest,6.545,4.8149999999999995,6.18
athletic_competition,6.545,4.8149999999999995,6.18
atlas_vertebra,5.95,2.5,5.7
map_collection,5.95,2.5,5.7
Atlas,5.95,2.5,5.7
telamon,5.95,2.5,5.7
book_of_maps,5.95,2.5,5.7
atmospheric_state,6.39,3.95,5.449999999999999
atm,6.39,3.95,5.449999999999999
standard_atmosphere,6.39,3.95,5.449999999999999
standard_pressure,6.39,3.95,5.449999999999999
atmospherical,5.72,4.09,5.11
corpuscle,5.082999999999999,4.361,5.364
mote,5.082999999999999,4.361,5.364
flagitious,3.1099999999999994,4.957142857142857,3.9738095238095235
barbarousness,2.95,5.0,2.96
inhumanity,2.95,5.0,2.96
heinousness,2.95,5.0,2.96
barbarity,2.6900000000000004,4.98,3.425
atrociousness,2.95,5.0,2.96
wasting_away,3.43,4.12,4.015000000000001
wasting,3.43,4.12,4.015000000000001
sequester,4.7749999999999995,4.101785714285714,5.011785714285714
fond_regard,6.0,2.96,6.32
fastening,6.0,2.96,6.32
affixation,6.0,2.96,6.32
adhesion,6.0,2.96,6.32
adherence,6.0,2.96,6.32
onslaught,4.105714285714286,4.993571428571428,4.432142857142857
aggress,4.34,5.038888888888889,4.69888888888889
onrush,4.374,4.941000000000001,4.664000000000001
tone-beginning,4.34,5.038888888888889,4.69888888888889
come_across,5.661010101010101,4.13838383838384,5.823434343434345
light_upon,5.608780487804879,4.370487804878048,5.797317073170733
happen_upon,5.608780487804879,4.370487804878048,5.797317073170733
come_upon,5.608780487804879,4.370487804878048,5.797317073170733
chance_on,5.608780487804879,4.370487804878048,5.797317073170733
chance_upon,5.608780487804879,4.370487804878048,5.797317073170733
arrive_at,5.444197530864198,4.27604938271605,5.74037037037037
fall_upon,5.608780487804879,4.370487804878048,5.797317073170733
assay,5.137049180327869,4.089180327868853,5.4404918032786895
endeavour,5.236,4.296666666666667,5.429666666666665
give_ear,5.208,3.9199999999999995,5.564
take_care,5.838783783783783,3.9855405405405397,5.896621621621621
pay_heed,5.208,3.9199999999999995,5.564
go_to,5.338333333333334,3.9133333333333336,6.011666666666667
attending,6.64,3.8775,6.142499999999999
concomitant,5.3725000000000005,3.8200000000000003,5.3725
consequent,5.3725000000000005,3.8200000000000003,5.3725
accompaniment,5.579736842105265,3.8771052631578953,5.671315789473684
co-occurrence,5.609999999999999,3.6457142857142855,5.615714285714285
attender,5.247058823529412,3.8882352941176475,5.522352941176472
attendee,5.763333333333333,3.2100000000000004,5.4799999999999995
meeter,5.763333333333333,3.2100000000000004,5.4799999999999995
sequent,4.9885714285714275,3.7628571428571433,5.527142857142857
resultant,5.08,4.133,5.3895
ensuant,5.3725000000000005,3.8200000000000003,5.3725
accompanying,5.3725000000000005,3.8200000000000003,5.3725
heedful,6.202500000000001,3.3375000000000004,6.2975
paying_attention,6.2543750000000005,3.7356249999999998,6.139375000000001
bear_witness,5.5893749999999995,4.118125,5.799062500000001
take_the_stand,5.3062499999999995,4.12125,5.68125
Ionic,5.828333333333333,3.603333333333333,5.468333333333334
bonce,5.828333333333333,3.603333333333333,5.468333333333334
Classical_Greek,5.828333333333333,3.603333333333333,5.468333333333334
Attic,5.828333333333333,3.603333333333333,5.468333333333334
garret,5.828333333333333,3.603333333333333,5.468333333333334
Ionic_dialect,5.828333333333333,3.603333333333333,5.468333333333334
dress_up,5.484782608695652,3.75,5.715217391304347
fancy_up,6.29,4.34,6.21
trick_up,6.29,4.34,6.21
deck_up,6.29,4.34,6.21
fig_up,6.29,4.34,6.21
prink,6.29,4.34,6.21
fig_out,6.29,4.34,6.21
tog_up,6.29,4.34,6.21
overdress,6.29,4.34,6.21
deck_out,6.29,4.34,6.21
trick_out,6.29,4.34,6.21
tog_out,6.29,4.34,6.21
gussy_up,6.29,4.34,6.21
rig_out,6.29,4.34,6.21
mental_attitude,5.056666666666666,3.89,5.4366666666666665
draw_in,5.137959183673469,4.034693877551021,5.414489795918367
pull_in,5.517586206896552,4.109224137931037,5.784051724137931
attractiveness,6.276666666666666,4.126666666666667,5.293333333333333
attractor,5.236896551724138,4.03103448275862,5.485172413793104
attractive_force,6.276666666666666,4.126666666666667,5.293333333333333
attractive_feature,6.276666666666666,4.126666666666666,5.293333333333333
drawing_card,5.270333333333332,4.061999999999999,5.512333333333333
attracter,5.236896551724138,4.03103448275862,5.485172413793104
vendue,5.26,4.25,5.35
auction_sale,5.26,4.25,5.35
auction_bridge,5.26,4.25,5.35
auction_off,5.26,4.25,5.35
brazen-faced,5.2877777777777775,4.765555555555555,5.572222222222222
bald-faced,5.2877777777777775,4.765555555555555,5.572222222222222
dauntless,5.749999999999999,4.615,5.776666666666667
venturous,5.0920000000000005,4.890000000000001,5.568
hardy,5.555,4.463125,5.73
unfearing,5.749999999999999,4.615,5.776666666666667
venturesome,5.0920000000000005,4.890000000000001,5.568
bodacious,5.2877777777777775,4.765555555555555,5.572222222222222
brassy,5.063250000000001,4.5920000000000005,5.258249999999999
barefaced,5.044,4.660000000000001,5.465
audaciousness,5.2,4.1,5.33
temerity,5.2,4.1,5.33
hearable,6.05,4.45,6.26
hearing,5.318,4.906000000000001,5.76
audio_recording,6.505,4.215,5.73
audio_frequency,6.505,4.215,5.73
sound_recording,6.505,4.215,5.73
audited_account,4.04,4.915,4.23
scrutinize,4.88,4.576666666666667,4.506666666666667
scrutinise,4.88,4.576666666666667,4.506666666666667
auditory_modality,5.365,4.215,5.75
try_out,5.400444444444445,4.300444444444445,5.540222222222222
auditory_sense,5.365,4.215,5.75
sense_of_hearing,5.365,4.215,5.75
hearer,4.68,3.765,5.4350000000000005
audile,5.05,4.5,6.11
auditive,5.05,4.5,6.11
aunty,6.4,3.145,5.035
gloriole,6.6971428571428575,4.351428571428571,5.664285714285714
nimbus,6.6971428571428575,4.351428571428571,5.664285714285714
aureole,6.6971428571428575,4.351428571428571,5.664285714285714
unquestionable,6.3625,3.9324999999999997,6.2875
bona_fide,6.3625,3.9324999999999997,6.2875
genuineness,6.18,4.255,6.300000000000001
authorisation,5.3375,4.2475000000000005,5.504
say-so,5.453333333333334,4.283333333333333,5.561333333333334
empowerment,4.973333333333334,4.723333333333334,5.010000000000001
empower,6.212941176470588,4.094705882352941,6.129411764705883
authorise,5.39065573770492,4.159672131147541,5.523606557377049
autobiographic,4.82,3.74,5.89
inscribe,4.820434782608695,4.2208695652173915,5.111159420289853
John_Hancock,6.21,3.55,6.1
automatize,4.74,4.05,4.5
machine-driven,4.74,4.05,4.5
automate,4.74,4.05,4.5
machine-controlled,4.74,4.05,4.5
automatise,4.74,4.05,4.5
automatonlike,5.446666666666666,4.333333333333333,4.55
automatic_pistol,5.446666666666666,4.333333333333333,4.55
reflexive,5.446666666666666,4.333333333333333,4.55
automatic_rifle,5.446666666666666,4.333333333333333,4.55
machinelike,5.446666666666666,4.333333333333333,4.55
robotlike,5.446666666666666,4.333333333333333,4.55
machine_rifle,5.446666666666666,4.333333333333333,4.55
self-propelling,5.37,4.5,5.38
self-propelled,5.37,4.5,5.38
self-sufficiency,6.125,4.295,6.615
self-direction,6.125,4.295,6.615
self-reliance,6.125,4.295,6.615
automatic_pilot,5.65,4.11,3.72
robot_pilot,5.65,4.11,3.72
post-mortem,2.9050000000000002,4.535,3.27
post-mortem_examination,2.9050000000000002,4.535,3.27
postmortem_examination,2.9050000000000002,4.535,3.27
PM,4.76,4.5616666666666665,4.806666666666666
necropsy,2.9050000000000002,4.535,3.27
supplementary,5.173333333333333,3.6566666666666667,5.656666666666666
handiness,5.68,4.38,5.5
accessibility,5.68,4.38,5.5
availableness,5.68,4.38,5.5
uncommitted,5.743333333333333,3.776666666666667,5.913333333333334
useable,6.008333333333333,4.253333333333333,5.951666666666667
roll_down,4.0,6.55,3.24
boulevard,5.74,3.3,5.18
modal,4.877777777777777,3.313333333333333,5.233333333333333
middling,5.960952380952382,3.9528571428571433,5.623333333333333
average_out,4.877777777777777,3.313333333333333,5.233333333333333
averting,4.0,5.14,4.81
antipathy,4.0,5.14,4.81
distaste,4.0,5.14,4.81
forfend,4.59375,3.9500000000000006,5.13125
turn_away,4.272413793103448,4.057931034482759,4.981724137931034
fend_off,4.59375,3.9500000000000006,5.13125
head_off,4.59375,3.9500000000000006,5.13125
forefend,4.59375,3.9500000000000006,5.13125
obviate,4.350714285714286,4.345714285714286,4.986428571428571
ward_off,4.59375,3.9500000000000006,5.13125
stave_off,4.59375,3.9500000000000006,5.13125
debar,4.7392,4.1504,5.0696
airmanship,6.305,3.65,5.67
air_power,6.305,3.65,5.67
aeronaut,4.852857142857142,4.045714285714285,5.078571428571428
airman,4.852857142857142,4.045714285714285,5.078571428571428
devouring,3.92,4.54,4.855
zealous,3.92,4.54,4.855
esurient,3.831666666666667,4.868333333333333,4.066666666666667
avocado_pear,6.32,4.05,5.22
aguacate,6.32,4.05,5.22
avocado_tree,6.32,4.05,5.22
Persea_Americana,6.32,4.05,5.22
alligator_pear,6.32,4.05,5.22
keep_off,4.568,3.8800000000000003,4.898000000000001
shunning,3.35,4.95,4.88
dodging,4.779999999999999,4.501875,5.259374999999999
turning_away,3.35,4.95,4.88
wakening,6.283333333333334,4.876666666666666,6.011666666666667
waking_up,6.283333333333334,4.876666666666666,6.011666666666667
laurels,6.9675,4.802499999999999,6.4875
honour,6.246129032258065,4.2700000000000005,6.055806451612905
awarding,7.4025,5.199999999999999,6.6525
accolade,6.9675,4.802499999999999,6.4875
cognisant,6.78,5.35,6.904999999999999
cognizant,6.78,5.35,6.904999999999999
sentience,6.346111111111111,4.511666666666667,6.013333333333334
cognisance,6.465,3.5300000000000002,7.295
knowingness,6.465,3.5300000000000002,7.295
cognizance,6.465,3.5300000000000002,7.295
veneration,5.1049999999999995,4.3525,5.02875
awestricken,5.06,4.3,4.97
awestruck,5.06,4.3,4.97
direful,3.4927272727272722,5.16121212121212,4.074242424242424
awfully,3.6442857142857137,5.0128571428571425,4.188095238095238
frightfully,3.6442857142857137,5.0128571428571425,4.188095238095238
terribly,3.6442857142857137,5.0128571428571425,4.188095238095238
cumbersome,3.5714285714285716,4.6499999999999995,4.024285714285715
ill-chosen,3.5714285714285716,4.6499999999999995,4.024285714285715
ungainly,3.5714285714285716,4.6499999999999995,4.024285714285715
unenviable,4.047857142857143,4.427857142857143,4.630714285714285
ill_at_ease,3.596,4.8629999999999995,4.211
inapt,3.5714285714285716,4.6499999999999995,4.024285714285715
bunglesome,3.5714285714285716,4.6499999999999995,4.024285714285715
ineptness,3.86,4.65,4.13
clumsiness,3.86,4.65,4.13
stiffness,4.033333333333334,4.565,4.845
slowness,4.7325,4.279999999999999,5.235
nuisance_value,3.86,4.65,4.13
gracelessness,3.86,4.65,4.13
ineptitude,3.86,4.65,4.13
cumbersomeness,3.86,4.65,4.13
unwieldiness,3.86,4.65,4.13
maladroitness,3.86,4.65,4.13
sunblind,5.79,2.9,5.29
sunshade,5.68,3.2,5.1
ax,3.48,5.64,5.55
Axis,4.19,3.92,5.59
axis_of_rotation,4.19,3.92,5.59
bloc,4.19,3.92,5.59
axis_vertebra,4.19,3.92,5.59
babble_out,5.76857142857143,4.249999999999999,5.58047619047619
babbling,5.974285714285714,4.0442857142857145,5.615714285714286
spill_the_beans,5.76857142857143,4.249999999999999,5.58047619047619
burble,5.589090909090909,4.189090909090909,5.4745454545454555
let_the_cat_out_of_the_bag,5.76857142857143,4.249999999999999,5.58047619047619
lallation,5.974285714285714,4.0442857142857145,5.615714285714286
blather,5.974285714285714,4.0442857142857145,5.615714285714286
guggle,5.589090909090909,4.189090909090909,5.4745454545454555
tattle,5.6207142857142856,4.141071428571428,5.504642857142856
blab_out,5.76857142857143,4.249999999999999,5.58047619047619
blither,5.974285714285714,4.0442857142857145,5.615714285714286
smatter,5.853333333333333,3.947777777777778,5.572222222222223
blether,5.974285714285714,4.0442857142857145,5.615714285714286
gurgle,5.589090909090909,4.189090909090909,5.4745454545454555
cocker,4.95,4.517083333333334,4.721666666666667
featherbed,4.95,4.517083333333334,4.721666666666667
coddle,4.95,4.517083333333334,4.721666666666667
mollycoddle,4.95,4.517083333333334,4.721666666666667
cosset,4.95,4.517083333333334,4.721666666666667
baby-sitter,5.72,3.105,5.18
bach,5.58,4.14,5.13
bachelor-at-arms,5.58,4.14,5.13
unmarried_man,5.58,4.14,5.13
knight_bachelor,5.58,4.14,5.13
bachelor_girl,5.52,4.09,4.89
rearwards,5.127142857142856,3.565714285714286,5.3914285714285715
dorsum,5.127142857142856,3.565714285714286,5.3914285714285715
backwards,5.127142857142856,3.565714285714286,5.3914285714285715
rearward,5.07717391304348,3.987173913043479,5.377173913043479
backward,5.127142857142856,3.565714285714286,5.3914285714285715
plunk_for,5.294615384615385,3.68,5.545128205128204
vertebral_column,5.155454545454545,3.7295454545454536,5.383181818181817
indorse,5.302830188679246,3.7901886792452824,5.5396226415094345
bet_on,5.0723529411764705,4.243529411764707,5.4029411764705895
backrest,5.127142857142856,3.565714285714286,5.3914285714285715
rachis,5.155454545454545,3.7295454545454536,5.383181818181817
plump_for,5.294615384615385,3.68,5.545128205128204
book_binding,5.334897959183675,3.7769387755102044,5.397142857142858
back_up,4.458571428571427,4.250000000000001,4.983285714285715
gage,4.915376344086019,4.261075268817204,5.153225806451612
spinal_column,5.155454545454545,3.7295454545454536,5.383181818181817
basketball_backboard,4.7,3.41,5.47
guts,5.330909090909092,3.5854545454545454,5.598181818181818
back_door,4.86,3.85,5.43
back_entrance,4.86,3.85,5.43
backcloth,5.2375,3.05,5.2925
blowback,4.57,4.663333333333333,4.316666666666666
backlash,4.6979999999999995,4.775333333333333,4.764666666666667
downplay,4.801666666666667,3.4066666666666667,4.923333333333333
background_signal,5.237500000000001,3.05,5.2925
screen_background,5.237500000000001,3.05,5.2925
play_down,5.237500000000001,3.05,5.2925
background_knowledge,5.237500000000001,3.05,5.2925
setting,5.492142857142857,3.7946428571428577,5.614285714285715
desktop,5.237500000000001,3.05,5.2925
backhanded,3.5,4.61,4.9
backhand_stroke,3.5,4.61,4.9
backhand_shot,3.5,4.61,4.9
left-slanting,3.5,4.61,4.9
rucksack,5.633333333333333,3.8800000000000003,6.016666666666667
back_pack,5.633333333333333,3.8800000000000003,6.016666666666667
haversack,5.633333333333333,3.8800000000000003,6.016666666666667
packsack,5.633333333333333,3.8800000000000003,6.016666666666667
back_end,5.4415,4.184500000000001,5.492
