V,A,D
5.13795918367347,4.034693877551019,5.414489795918367
5.517586206896552,4.109224137931036,5.784051724137934
5.236896551724137,4.03103448275862,5.485172413793104
5.236896551724137,4.03103448275862,5.485172413793104
5.270333333333332,4.0619999999999985,5.512333333333333
6.276666666666666,4.126666666666667,5.293333333333333
6.276666666666666,4.126666666666667,5.293333333333333
6.276666666666666,4.126666666666667,5.293333333333333
5.26,4.25,5.35
5.26,4.25,5.35
5.26,4.25,5.35
5.26,4.25,5.35
5.044,4.66,5.465
5.75,4.615000000000001,5.776666666666666
5.2877777777777775,4.765555555555555,5.572222222222222
5.063250000000001,4.5920000000000005,5.2582499999999985
5.2877777777777775,4.765555555555555,5.572222222222222
5.0920000000000005,4.890000000000001,5.568
5.2877777777777775,4.765555555555555,5.572222222222222
5.555000000000001,4.463125,5.73
5.75,4.615000000000001,5.776666666666666
5.0920000000000005,4.890000000000001,5.568
5.2,4.1,5.33
5.2,4.1,5.33
6.05,4.45,6.26
5.318,4.906,5.76
6.505,4.215,5.73
6.505,4.215,5.73
6.505,4.215,5.73
4.88,4.576666666666667,4.506666666666667
4.88,4.576666666666667,4.506666666666667
4.04,4.915,4.23
5.365,4.215,5.75
5.400444444444445,4.3004444444444445,5.540222222222222
5.365,4.215,5.75
5.365,4.215,5.75
4.68,3.765,5.4350000000000005
5.05,4.5,6.11
5.05,4.5,6.11
6.4,3.145,5.035
6.697142857142857,4.351428571428571,5.664285714285714
6.697142857142857,4.351428571428571,5.664285714285714
6.697142857142857,4.351428571428571,5.664285714285714
6.3625,3.9324999999999997,6.2875
6.3625,3.9324999999999997,6.2875
6.18,4.255,6.300000000000001
5.453333333333333,4.283333333333333,5.561333333333333
5.3375,4.2475000000000005,5.504
4.973333333333333,4.723333333333334,5.01
6.212941176470586,4.094705882352941,6.129411764705884
5.390655737704916,4.159672131147542,5.523606557377049
4.82,3.74,5.89
6.21,3.55,6.1
4.820434782608695,4.220869565217392,5.111159420289854
4.74,4.05,4.5
4.74,4.05,4.5
4.74,4.05,4.5
4.74,4.05,4.5
4.74,4.05,4.5
5.446666666666666,4.333333333333333,4.55
5.446666666666666,4.333333333333333,4.55
5.446666666666666,4.333333333333333,4.55
5.446666666666666,4.333333333333333,4.55
5.446666666666666,4.333333333333333,4.55
5.446666666666666,4.333333333333333,4.55
5.446666666666666,4.333333333333333,4.55
5.37,4.5,5.38
5.37,4.5,5.38
6.125,4.295,6.615
6.125,4.295,6.615
6.125,4.295,6.615
5.65,4.11,3.72
5.65,4.11,3.72
2.9050000000000002,4.535,3.27
2.9050000000000002,4.535,3.27
2.9050000000000002,4.535,3.27
2.9050000000000002,4.535,3.27
4.760000000000001,4.561666666666667,4.806666666666667
5.173333333333333,3.6566666666666663,5.656666666666667
5.68,4.38,5.5
5.68,4.38,5.5
5.68,4.38,5.5
5.743333333333333,3.776666666666667,5.913333333333334
6.008333333333333,4.253333333333333,5.951666666666667
4.0,6.55,3.24
5.74,3.3,5.18
5.9609523809523814,3.9528571428571424,5.623333333333333
4.877777777777777,3.313333333333333,5.233333333333334
4.877777777777777,3.313333333333333,5.233333333333334
4.0,5.14,4.81
4.0,5.14,4.81
4.0,5.14,4.81
4.59375,3.9499999999999997,5.13125
4.272413793103448,4.057931034482759,4.9817241379310335
4.59375,3.9499999999999997,5.13125
4.59375,3.9499999999999997,5.13125
4.739199999999999,4.1504,5.069599999999999
4.59375,3.9499999999999997,5.13125
4.59375,3.9499999999999997,5.13125
4.59375,3.9499999999999997,5.13125
4.350714285714285,4.345714285714286,4.986428571428573
6.305,3.65,5.67
6.305,3.65,5.67
4.852857142857142,4.045714285714285,5.078571428571429
4.852857142857142,4.045714285714285,5.078571428571429
3.92,4.54,4.855
3.92,4.54,4.855
3.8316666666666666,4.868333333333333,4.066666666666667
6.32,4.05,5.22
6.32,4.05,5.22
6.32,4.05,5.22
6.32,4.05,5.22
6.32,4.05,5.22
4.568,3.88,4.898000000000001
3.35,4.95,4.88
4.78,4.501874999999999,5.2593749999999995
3.35,4.95,4.88
6.283333333333334,4.876666666666666,6.011666666666667
6.283333333333334,4.876666666666666,6.011666666666667
6.246129032258064,4.270000000000001,6.055806451612903
6.9675,4.8025,6.487499999999999
7.4025,5.2,6.6525
6.9675,4.8025,6.487499999999999
6.78,5.35,6.904999999999999
6.78,5.35,6.904999999999999
6.34611111111111,4.511666666666667,6.013333333333333
6.465,3.5300000000000002,7.295
6.465,3.5300000000000002,7.295
6.465,3.5300000000000002,7.295
5.1049999999999995,4.352500000000001,5.0287500000000005
5.06,4.3,4.97
5.06,4.3,4.97
3.644285714285714,5.0128571428571425,4.188095238095237
3.644285714285714,5.0128571428571425,4.188095238095237
3.4927272727272727,5.161212121212121,4.074242424242423
3.644285714285714,5.0128571428571425,4.188095238095237
3.596,4.8629999999999995,4.211
3.5714285714285707,4.6499999999999995,4.024285714285715
4.0478571428571435,4.4278571428571425,4.630714285714285
3.5714285714285707,4.6499999999999995,4.024285714285715
3.5714285714285707,4.6499999999999995,4.024285714285715
3.5714285714285707,4.6499999999999995,4.024285714285715
3.5714285714285707,4.6499999999999995,4.024285714285715
3.86,4.65,4.13
3.86,4.65,4.13
4.033333333333332,4.565,4.845
3.86,4.65,4.13
3.86,4.65,4.13
3.86,4.65,4.13
3.86,4.65,4.13
3.86,4.65,4.13
3.86,4.65,4.13
4.7325,4.279999999999999,5.234999999999999
5.68,3.2,5.1
5.79,2.9,5.29
3.48,5.64,5.55
4.19,3.92,5.59
4.19,3.92,5.59
4.19,3.92,5.59
4.19,3.92,5.59
5.974285714285715,4.0442857142857145,5.615714285714286
5.974285714285715,4.0442857142857145,5.615714285714286
5.58909090909091,4.189090909090909,5.474545454545455
5.76857142857143,4.25,5.58047619047619
5.76857142857143,4.25,5.58047619047619
5.974285714285715,4.0442857142857145,5.615714285714286
5.76857142857143,4.25,5.58047619047619
5.58909090909091,4.189090909090909,5.474545454545455
5.76857142857143,4.25,5.58047619047619
5.974285714285715,4.0442857142857145,5.615714285714286
5.58909090909091,4.189090909090909,5.474545454545455
5.6207142857142856,4.141071428571428,5.504642857142857
5.974285714285715,4.0442857142857145,5.615714285714286
5.8533333333333335,3.947777777777778,5.572222222222223
4.8888,4.526800000000001,4.7224
4.8888,4.526800000000001,4.7224
4.8888,4.526800000000001,4.7224
4.8888,4.526800000000001,4.7224
4.8888,4.526800000000001,4.7224
5.72,3.105,5.18
5.58,4.14,5.13
5.58,4.14,5.13
5.58,4.14,5.13
5.58,4.14,5.13
5.52,4.09,4.89
5.294615384615387,3.6799999999999997,5.545128205128205
5.294615384615387,3.6799999999999997,5.545128205128205
5.127142857142857,3.565714285714286,5.391428571428572
4.91537634408602,4.261075268817203,5.153225806451613
5.077173913043478,3.987173913043477,5.377173913043477
5.155454545454545,3.7295454545454545,5.383181818181819
5.127142857142857,3.565714285714286,5.391428571428572
5.127142857142857,3.565714285714286,5.391428571428572
5.127142857142857,3.565714285714286,5.391428571428572
5.155454545454545,3.7295454545454545,5.383181818181819
5.0723529411764705,4.243529411764706,5.4029411764705895
4.458571428571429,4.249999999999999,4.983285714285713
5.155454545454545,3.7295454545454545,5.383181818181819
5.127142857142857,3.565714285714286,5.391428571428572
5.334897959183675,3.7769387755102044,5.397142857142857
5.302830188679246,3.790188679245283,5.5396226415094345
4.7,3.41,5.47
5.33090909090909,3.585454545454546,5.598181818181818
4.86,3.85,5.43
4.86,3.85,5.43
5.237500000000001,3.05,5.2925
4.57,4.663333333333333,4.316666666666666
4.6979999999999995,4.775333333333333,4.764666666666667
5.492142857142857,3.7946428571428577,5.614285714285715
5.237500000000001,3.05,5.2925
4.801666666666667,3.4066666666666663,4.923333333333333
5.237500000000001,3.05,5.2925
5.237500000000001,3.05,5.2925
5.237500000000001,3.05,5.2925
5.237500000000001,3.05,5.2925
3.5,4.61,4.9
3.5,4.61,4.9
3.5,4.61,4.9
3.5,4.61,4.9
5.633333333333333,3.8799999999999994,6.016666666666667
5.633333333333333,3.8799999999999994,6.016666666666667
5.633333333333333,3.8799999999999994,6.016666666666667
5.633333333333333,3.8799999999999994,6.016666666666667
5.4415,4.184499999999999,5.492
4.26,3.15,5.3
5.8494117647058825,3.80764705882353,5.687058823529412
5.8494117647058825,3.80764705882353,5.687058823529412
5.8494117647058825,3.80764705882353,5.687058823529412
5.465000000000002,3.79,5.664
6.204000000000001,4.282000000000001,5.85
5.540526315789475,3.8589473684210525,5.717894736842105
5.97,3.7725000000000004,5.6712500000000015
5.199285714285715,3.9485714285714293,5.484107142857142
5.0,2.57,5.21
5.0,2.57,5.21
5.0,2.57,5.21
7.52,4.16,6.11
7.52,4.16,6.11
7.52,4.16,6.11
7.52,4.16,6.11
7.52,4.16,6.11
7.52,4.16,6.11
7.52,4.16,6.11
3.3,4.24,3.44
3.966,4.489,4.595
4.033333333333334,4.669999999999999,4.6691666666666665
3.966,4.489,4.595
3.966,4.489,4.595
3.966,4.489,4.595
3.966,4.489,4.595
4.184615384615385,4.72076923076923,4.76
3.8775,5.199999999999999,4.485
4.989749999999999,4.322999999999999,5.07625
3.8775,5.199999999999999,4.485
3.9771428571428573,4.488571428571428,4.732857142857142
3.53,4.906666666666666,4.283333333333333
3.8425000000000002,5.1225,4.455
5.666111111111111,4.098333333333333,5.707777777777778
5.312777777777779,3.9127777777777784,5.719444444444445
5.246,3.6100000000000003,5.712999999999999
5.312777777777779,3.9127777777777784,5.719444444444445
5.246,3.6100000000000003,5.712999999999999
5.246,3.6100000000000003,5.712999999999999
6.32,3.6,5.17
3.7520000000000002,4.042,4.266
4.7,2.7,3.86
4.7,2.7,3.86
4.7,2.7,3.86
4.7,2.7,3.86
4.7,2.7,3.86
3.79,3.91,4.0
4.736666666666666,4.356172839506172,4.980493827160494
4.529677419354838,4.332580645161291,4.968709677419355
4.59046875,4.402031249999999,4.914999999999998
4.59046875,4.402031249999999,4.914999999999998
4.529677419354838,4.332580645161291,4.968709677419355
7.2,5.0,6.83
6.79,3.86,5.74
6.79,3.86,5.74
5.782962962962962,3.4540740740740747,5.6429629629629625
5.754545454545454,3.5545454545454547,5.490909090909091
5.754545454545454,3.554545454545455,5.490909090909091
5.754545454545454,3.5545454545454547,5.490909090909091
5.754545454545454,3.5545454545454547,5.490909090909091
5.754545454545454,3.5545454545454547,5.490909090909091
5.754545454545454,3.5545454545454547,5.490909090909091
5.754545454545454,3.5545454545454547,5.490909090909091
5.754545454545454,3.554545454545455,5.490909090909091
5.754545454545454,3.554545454545455,5.490909090909091
5.0637500000000015,4.126458333333333,5.393958333333335
5.754545454545454,3.5545454545454547,5.490909090909091
5.632307692307692,3.533846153846154,5.399230769230769
5.754545454545454,3.554545454545455,5.490909090909091
5.754545454545454,3.5545454545454547,5.490909090909091
5.8374999999999995,3.595833333333333,5.573333333333334
2.85,3.71,4.5
4.865172413793101,4.281724137931034,5.051379310344828
2.85,3.71,4.5
2.85,3.71,4.5
3.95,2.7,5.22
3.95,2.7,5.22
4.9,2.78,4.91
4.9,2.78,4.91
4.9,2.78,4.91
4.861818181818181,3.9081818181818178,5.113636363636364
4.861818181818181,3.9081818181818178,5.113636363636364
4.4731999999999985,4.2348,4.8432
4.4731999999999985,4.2348,4.8432
4.4731999999999985,4.2348,4.8432
4.861818181818181,3.9081818181818178,5.113636363636364
4.4731999999999985,4.2348,4.8432
4.7785714285714285,3.9361904761904767,5.047142857142856
4.67,4.06,4.86
4.67,4.06,4.86
4.67,4.06,4.86
6.79,3.73,5.59
6.86,3.72,5.62
7.0,4.65,5.26
7.0,4.65,5.26
4.05,5.58,4.71
5.499523809523808,4.631428571428572,5.51047619047619
5.265000000000001,4.6,6.12
5.265000000000001,4.6,6.12
6.220000000000001,3.2750000000000004,5.359999999999999
5.26,4.09,6.24
5.1,2.46,5.26
5.1,2.46,5.26
5.1,2.46,5.26
5.75,4.27,5.67
5.75,4.27,5.67
5.985714285714287,3.792857142857143,5.804285714285714
5.985714285714287,3.792857142857143,5.804285714285714
5.139230769230769,4.44,4.725769230769231
4.9870967741935495,4.470967741935483,4.605806451612903
5.139230769230769,4.44,4.725769230769231
5.139230769230769,4.44,4.725769230769231
5.139230769230769,4.44,4.725769230769231
5.139230769230769,4.44,4.725769230769231
5.139230769230769,4.44,4.725769230769231
5.139230769230769,4.44,4.725769230769231
5.139230769230769,4.44,4.725769230769231
5.077999999999999,5.1579999999999995,4.65
3.401666666666667,4.581666666666666,4.498333333333334
3.63,4.574285714285715,4.63857142857143
3.48,4.54,4.495714285714286
3.401666666666667,4.581666666666666,4.498333333333334
3.63,4.574285714285715,4.63857142857143
3.5227777777777782,4.569444444444445,4.372222222222223
3.48625,4.674375,4.370625
4.770416666666667,4.528333333333332,5.183750000000001
3.6458333333333335,4.523333333333333,4.4675
6.71,3.21,6.05
5.952,3.81,5.4799999999999995
5.952,3.81,5.4799999999999995
5.952,3.81,5.4799999999999995
5.952,3.81,5.4799999999999995
5.952,3.81,5.4799999999999995
5.732857142857144,4.011428571428572,5.454285714285715
5.26,3.15,5.42
3.88,5.18,4.77
5.221,3.5894999999999997,5.3445
5.104022988505747,4.625977011494252,5.292413793103449
5.242950819672134,4.754590163934426,5.282295081967213
5.242950819672134,4.754590163934426,5.282295081967213
5.242950819672134,4.754590163934426,5.282295081967213
5.242950819672134,4.754590163934426,5.282295081967213
5.242950819672134,4.754590163934426,5.282295081967213
5.242950819672134,4.754590163934426,5.282295081967213
5.242950819672134,4.754590163934426,5.282295081967213
5.024482758620689,5.016896551724138,5.17793103448276
5.242950819672134,4.754590163934426,5.282295081967213
5.242950819672134,4.754590163934426,5.282295081967213
5.2570954356846435,4.207842323651451,5.477219917012451
5.189857142857145,4.666714285714285,5.279571428571429
5.242950819672134,4.754590163934426,5.282295081967213
5.242950819672134,4.754590163934426,5.282295081967213
5.035106382978723,4.852553191489361,5.196170212765957
5.242950819672134,4.754590163934426,5.282295081967213
5.242950819672134,4.754590163934426,5.282295081967213
5.242950819672134,4.754590163934426,5.282295081967213
4.625212765957447,4.4220212765957445,4.960425531914893
5.42,2.55,5.83
5.42,2.55,5.83
5.42,2.55,5.83
5.42,2.55,5.83
5.7379999999999995,4.368,5.452
5.7379999999999995,4.368,5.452
5.1095454545454535,4.04909090909091,5.270909090909092
5.7379999999999995,4.368,5.452
5.7379999999999995,4.368,5.452
5.7379999999999995,4.368,5.452
5.7379999999999995,4.368,5.452
5.7379999999999995,4.368,5.452
5.7379999999999995,4.368,5.452
3.5774999999999997,5.34,4.71
3.5774999999999997,5.34,4.71
5.3375,3.7199999999999998,5.42
3.58,5.09,4.15
5.679333333333333,4.327333333333333,5.577333333333333
6.726666666666667,4.72,5.833333333333333
5.863333333333334,4.33047619047619,5.421428571428572
6.300000000000002,4.612857142857143,5.535000000000001
6.726666666666667,4.72,5.833333333333333
5.696666666666666,3.4166666666666665,5.69
4.95625,4.1762500000000005,5.13875
4.648979591836735,4.094489795918367,4.894489795918367
4.9142857142857155,4.219285714285714,5.038571428571428
4.648979591836735,4.094489795918367,4.894489795918367
4.9142857142857155,4.219285714285714,5.038571428571428
4.95625,4.1762500000000005,5.13875
4.9142857142857155,4.219285714285714,5.038571428571428
4.9142857142857155,4.219285714285714,5.038571428571428
5.212666666666667,4.637333333333333,4.871333333333334
4.814516129032256,4.34258064516129,4.8270967741935475
5.394000000000001,4.581200000000001,5.0336
5.212666666666667,4.637333333333333,4.871333333333334
4.129411764705882,5.2176470588235295,4.542647058823529
7.1,5.55,5.59
7.1,5.55,5.59
3.5537499999999995,4.73375,4.39375
3.5374999999999996,4.9375,4.3475
3.5374999999999996,4.9375,4.3475
3.5374999999999996,4.9375,4.3475
3.5374999999999996,4.9375,4.3475
4.572272727272729,4.584848484848485,5.049848484848485
3.5374999999999996,4.9375,4.3475
3.5374999999999996,4.9375,4.3475
3.5374999999999996,4.9375,4.3475
5.134814814814815,4.638888888888889,5.340740740740739
3.5374999999999996,4.9375,4.3475
3.5374999999999996,4.9375,4.3475
3.5374999999999996,4.9375,4.3475
3.5374999999999996,4.9375,4.3475
4.89,3.18,5.91
4.89,3.18,5.91
5.830000000000001,3.206666666666667,5.95
4.45,2.94,5.32
4.937142857142855,4.302142857142857,5.071071428571429
5.088571428571429,3.934285714285714,5.187142857142857
5.362499999999998,4.105416666666666,5.353333333333333
5.088571428571429,3.934285714285714,5.187142857142857
4.893125000000001,4.07,5.084999999999999
5.212121212121213,4.042121212121212,5.459393939393938
5.212121212121213,4.042121212121212,5.459393939393938
4.731568627450981,4.2216666666666685,5.1273529411764684
6.91,4.33,6.82
6.91,4.33,6.82
4.26530303030303,4.344545454545455,4.913939393939395
4.26530303030303,4.344545454545455,4.913939393939395
4.361527777777778,4.3090277777777795,4.953333333333333
4.26530303030303,4.344545454545455,4.913939393939395
3.71125,4.580625,4.258750000000001
4.415119047619047,4.471071428571429,4.923571428571429
4.26530303030303,4.344545454545455,4.913939393939395
4.317391304347826,4.354202898550725,4.932173913043478
4.26530303030303,4.344545454545455,4.913939393939395
4.332465753424658,4.333287671232879,4.9180821917808215
5.6259999999999994,4.622,5.676
5.44,3.15,4.52
5.44,3.15,4.52
5.44,3.15,4.52
5.44,3.15,4.52
5.576923076923076,4.158461538461538,5.346153846153846
6.05,4.0,4.74
6.05,4.0,4.74
6.05,4.0,4.74
4.9,2.91,4.85
4.9,2.91,4.85
5.32,3.325,4.91
5.536666666666666,4.536666666666666,5.476666666666667
5.536666666666666,4.536666666666666,5.476666666666667
4.95,3.62,5.79
6.16,3.57,5.65
5.27,3.52,3.68
5.27,3.52,3.68
5.27,3.52,3.68
5.27,3.52,3.68
5.54,4.558,5.416
5.54,4.558,5.416
5.54,4.558,5.416
5.54,4.558,5.416
3.435,5.125,3.8524999999999996
5.237596153846154,4.439038461538463,5.266057692307696
3.347777777777777,4.690000000000001,4.150000000000001
3.435,5.125,3.8524999999999996
5.484999999999999,4.05,5.295
5.484999999999999,4.05,5.295
5.484999999999999,4.05,5.295
5.484999999999999,4.05,5.295
4.255,4.0683333333333325,4.833333333333333
5.423529411764706,4.016470588235294,5.652941176470588
5.312580645161291,3.627096774193548,5.523225806451614
5.119999999999999,3.6568965517241376,5.603103448275863
5.382352941176473,3.8286764705882357,5.548823529411764
5.180000000000001,3.5,5.662727272727273
5.294651162790698,3.74139534883721,5.566279069767443
5.180000000000001,3.5,5.662727272727273
5.180000000000001,3.5,5.662727272727273
5.235,3.7043750000000006,5.540000000000002
5.180000000000001,3.5,5.662727272727273
5.180000000000001,3.5,5.662727272727273
5.180000000000001,3.5,5.662727272727273
5.180000000000001,3.5,5.662727272727273
5.235,3.7043750000000006,5.540000000000002
5.037931034482758,3.543793103448276,5.45448275862069
5.180000000000001,3.5,5.662727272727273
5.180000000000001,3.5,5.662727272727273
5.180000000000001,3.5,5.662727272727273
5.79,3.15,6.05
5.4,2.52,5.16
4.885625000000001,4.4487499999999995,5.2125
4.772142857142858,4.359285714285714,5.237857142857143
5.55,4.36,4.74
5.25,3.7150000000000003,5.404999999999999
5.453333333333333,3.5233333333333334,5.453333333333333
5.25,3.7150000000000003,5.404999999999999
5.25,3.7150000000000003,5.404999999999999
5.453333333333333,3.5233333333333334,5.453333333333333
5.453333333333333,3.5233333333333334,5.453333333333333
5.453333333333333,3.5233333333333334,5.453333333333333
5.453333333333333,3.5233333333333334,5.453333333333333
5.453333333333333,3.5233333333333334,5.453333333333333
6.43,3.82,5.36
6.43,3.82,5.36
6.43,3.82,5.36
6.43,3.82,5.36
6.43,3.82,5.36
6.43,3.82,5.36
5.324999999999999,3.49,5.16
4.9825,4.065,5.12
5.324999999999999,3.49,5.16
5.324999999999999,3.49,5.16
5.324999999999999,3.49,5.16
5.074999999999999,3.453333333333333,5.498333333333334
5.074999999999999,3.453333333333333,5.498333333333334
5.324999999999999,3.49,5.16
5.324999999999999,3.49,5.16
5.074999999999999,3.453333333333333,5.498333333333334
5.557560975609756,4.5024390243902435,5.630731707317073
5.96,2.815,5.3
6.336666666666666,3.3533333333333335,5.346666666666667
5.96,2.815,5.3
5.96,2.815,5.3
5.67,4.35,5.05
5.67,4.35,5.05
5.335000000000001,4.385,5.415
5.335000000000001,4.385,5.415
5.335000000000001,4.385,5.415
5.335000000000001,4.385,5.415
5.335000000000001,4.385,5.415
3.582413793103448,4.856551724137931,4.3327586206896544
2.8673333333333337,5.246,3.8240000000000003
2.8673333333333337,5.246,3.8240000000000003
2.8673333333333337,5.246,3.8240000000000003
5.155,4.693333333333333,5.156666666666666
5.155,4.693333333333333,5.156666666666666
5.155,4.693333333333333,5.156666666666666
5.155,4.693333333333333,5.156666666666666
5.055000000000001,4.430454545454546,5.361363636363637
5.155,4.693333333333333,5.156666666666666
5.327283950617285,3.9346913580246925,5.467037037037039
5.327283950617285,3.9346913580246925,5.467037037037039
5.327283950617285,3.9346913580246925,5.467037037037039
5.327283950617285,3.9346913580246925,5.467037037037039
5.327283950617285,3.9346913580246925,5.467037037037039
5.3313999999999995,4.1693,5.4721
5.327283950617285,3.9346913580246925,5.467037037037039
5.327283950617285,3.9346913580246925,5.467037037037039
5.327283950617285,3.9346913580246925,5.467037037037039
5.168175675675674,4.0309459459459465,5.374324324324325
5.240344827586206,4.040603448275861,5.434137931034481
5.327283950617285,3.9346913580246925,5.467037037037039
6.121666666666666,3.323333333333333,5.733333333333334
6.4239999999999995,3.3379999999999996,5.888
4.57,4.9,4.9925
5.32,4.0,5.68
6.88,3.2100000000000004,6.69
4.817058823529413,3.855,5.158823529411764
4.91547619047619,4.103095238095239,5.064285714285713
4.613333333333333,4.1499999999999995,5.066666666666666
4.613333333333333,4.1499999999999995,5.066666666666666
4.613333333333333,4.1499999999999995,5.066666666666666
4.613333333333333,4.1499999999999995,5.066666666666666
5.0855,4.194500000000001,5.181
5.0855,4.194500000000001,5.181
4.820500000000001,4.082000000000001,5.198
4.46,4.2588888888888885,5.094444444444445
4.101428571428571,4.467142857142858,5.042857142857143
4.456666666666667,4.743333333333333,5.503333333333334
4.5600000000000005,4.2725,4.8125
4.5600000000000005,4.2725,4.8125
4.534545454545455,4.243636363636363,5.079090909090909
3.8800000000000003,4.463333333333334,3.996666666666666
3.8800000000000003,4.463333333333334,3.996666666666666
3.8800000000000003,4.463333333333334,3.996666666666666
5.442857142857143,4.104285714285714,5.438571428571429
5.442857142857143,4.104285714285714,5.438571428571429
3.7,4.52,5.14
3.7,4.52,5.14
3.7,4.52,5.14
4.43,3.41,5.3
6.338,4.26,5.470000000000001
6.3025,4.335,5.5875
6.3025,4.335,5.5875
6.3025,4.335,5.5875
4.008571428571428,4.680000000000001,4.851428571428571
6.330000000000001,4.126666666666666,5.396666666666667
6.330000000000001,4.126666666666666,5.396666666666667
6.330000000000001,4.126666666666666,5.396666666666667
6.330000000000001,4.126666666666666,5.396666666666667
6.330000000000001,4.126666666666666,5.396666666666667
6.779999999999999,4.595000000000001,5.800000000000001
5.669999999999999,3.914444444444444,5.524444444444445
5.4766666666666675,4.074666666666666,5.510000000000001
5.5636363636363635,4.062454545454548,5.7556363636363645
5.469111111111112,4.024,5.462666666666667
5.669999999999999,3.914444444444444,5.524444444444445
5.669999999999999,3.914444444444444,5.524444444444445
5.482000000000001,4.0075,5.547000000000001
5.71,4.095,5.78
5.71,4.095,5.78
5.71,4.095,5.78
5.71,4.095,5.78
5.4433333333333325,3.856666666666667,4.890000000000001
5.4433333333333325,3.856666666666667,4.890000000000001
5.4433333333333325,3.856666666666667,4.890000000000001
4.58,3.73,4.73
4.58,3.73,4.73
4.58,3.73,4.73
4.58,3.73,4.73
4.58,3.73,4.73
4.58,3.73,4.73
4.58,3.73,4.73
4.58,3.73,4.73
4.58,3.73,4.73
4.468181818181818,3.8345454545454545,4.924545454545454
4.90125,3.75875,5.0025
4.869230769230769,3.895384615384616,5.183461538461539
4.869230769230769,3.895384615384616,5.183461538461539
4.90125,3.75875,5.0025
4.90125,3.75875,5.0025
4.835,4.130714285714285,4.996428571428571
5.926666666666667,4.296666666666667,5.612222222222222
4.972727272727273,4.585909090909091,5.105909090909091
5.926666666666667,4.296666666666667,5.612222222222222
5.926666666666667,4.296666666666667,5.612222222222222
4.826666666666667,4.6475,4.957916666666667
4.972727272727273,4.585909090909091,5.105909090909091
4.972727272727273,4.585909090909091,5.105909090909091
4.972727272727273,4.585909090909091,5.105909090909091
4.961304347826086,4.543478260869565,5.103913043478261
5.802,3.6399999999999997,5.5440000000000005
5.802,3.6399999999999997,5.5440000000000005
5.58,3.58,5.36
5.488245614035089,3.83578947368421,5.4785964912280685
5.553278688524591,3.8259016393442624,5.52983606557377
5.676333333333333,3.9233333333333333,5.598999999999999
5.72,3.57,5.47
5.72,3.57,5.47
5.72,3.57,5.47
5.545,3.8950000000000005,5.115
5.756666666666667,3.8333333333333335,5.640000000000001
5.38,4.355,5.74
5.38,4.355,5.74
5.38,4.355,5.74
5.38,4.355,5.74
5.292,3.406,5.104000000000001
5.1033333333333335,3.5033333333333334,5.303333333333334
5.469687500000001,3.77875,5.529375
5.469687500000001,3.77875,5.529375
5.201538461538462,4.164461538461539,5.412461538461539
5.201538461538462,4.164461538461539,5.412461538461539
4.25,3.95,5.6
4.25,3.95,5.6
4.31,4.978666666666666,4.903333333333334
3.3454545454545457,5.3109090909090915,4.2763636363636355
5.204516129032259,4.195483870967742,5.288709677419356
5.2783783783783775,4.217567567567567,5.311891891891893
5.2484375000000005,4.1196875,5.2603125
5.125263157894738,4.1889473684210525,5.305000000000001
5.2783783783783775,4.217567567567567,5.311891891891893
5.1899999999999995,4.188,5.2713333333333345
5.241777777777778,4.015111111111111,5.343555555555557
5.215365853658537,4.101219512195121,5.297560975609757
5.167878787878789,4.182121212121212,5.280606060606062
5.125263157894738,4.1889473684210525,5.305000000000001
5.064571428571428,4.064285714285714,5.173428571428573
5.125263157894738,4.1889473684210525,5.305000000000001
5.323947368421052,4.310526315789474,5.306578947368422
4.6654166666666645,4.336333333333331,5.012916666666666
5.2484375000000005,4.1196875,5.2603125
4.921132075471698,4.120188679245283,5.14622641509434
5.089767441860466,4.253023255813953,5.269534883720931
5.1025,4.475454545454546,5.0977272727272736
5.064571428571428,4.064285714285714,5.173428571428573
5.753913043478261,4.258695652173913,5.46695652173913
5.753913043478261,4.258695652173913,5.46695652173913
6.387142857142857,4.834285714285714,5.675714285714285
5.753913043478261,4.258695652173913,5.46695652173913
5.0,4.05,5.15
5.0,4.05,5.15
5.0,4.05,5.15
5.0,4.05,5.15
5.0,4.05,5.15
5.0,4.05,5.15
5.0,4.05,5.15
5.0,4.05,5.15
5.0,4.05,5.15
5.0,4.05,5.15
5.0,4.05,5.15
5.0,4.05,5.15
5.381764705882354,4.303529411764707,5.380000000000001
5.381764705882354,4.303529411764707,5.380000000000001
5.381764705882354,4.303529411764707,5.380000000000001
5.381764705882354,4.303529411764707,5.380000000000001
5.576279069767441,4.192790697674418,5.439069767441862
5.381764705882354,4.303529411764707,5.380000000000001
5.381764705882354,4.303529411764707,5.380000000000001
5.381764705882354,4.303529411764707,5.380000000000001
5.718181818181818,4.70909090909091,5.595454545454545
5.718181818181818,4.70909090909091,5.595454545454545
5.718181818181818,4.70909090909091,5.595454545454545
5.865,4.74,6.17
5.865,4.74,6.17
5.865,4.74,6.17
5.313333333333334,4.045333333333333,5.407333333333333
5.313333333333334,4.045333333333333,5.407333333333333
5.313333333333334,4.045333333333333,5.407333333333333
5.313333333333334,4.045333333333333,5.407333333333333
4.37,4.57375,4.883749999999999
4.2155000000000005,4.9535,4.782
4.37,4.57375,4.883749999999999
4.183125,4.55625,4.632499999999999
4.45,4.2,6.085
4.45,4.2,6.085
4.705,3.835,4.9
5.54,4.09,5.301111111111111
2.92,4.29,4.16
2.92,4.29,4.16
4.0600000000000005,3.775,4.890000000000001
