Word,V,A,D
fatherly,6.53,3.54,6.61
fathom,5.21,4.71,4.3
fatigue,3.64,3.26,4.05
fatigued,2.89,3.78,4.33
fatso,2.68,5.33,4.0
fatten,3.89,3.39,4.65
fatty,2.38,3.35,3.5
faucet,5.55,3.53,6.31
fault,3.53,4.02,4.02
faulty,3.48,4.68,4.42
faun,5.1,4.18,5.47
fauna,6.05,3.25,6.0
faux,4.25,3.57,4.52
favor,6.67,4.61,6.24
favorable,6.9,4.59,6.78
favorite,7.39,4.4,7.0
favoritism,4.81,5.15,4.83
fawn,6.15,3.92,5.73
fax,5.24,3.37,5.67
faze,4.82,3.91,5.45
fear,2.93,6.14,3.32
fearful,2.66,5.45,3.12
fearless,5.81,4.05,6.93
fearsome,3.32,5.45,3.58
feasible,5.84,4.2,6.79
feast,7.57,5.26,6.21
feat,6.0,4.0,6.19
feather,6.3,3.29,5.97
feathered,6.29,3.36,5.84
feature,5.6,3.91,6.26
fecal,2.4,4.52,4.2
feces,2.23,4.35,4.53
federal,3.06,4.45,2.76
federation,4.68,3.55,5.35
fee,2.86,4.08,4.12
feeble,3.87,3.68,3.53
feed,6.95,4.55,6.79
feedback,5.91,4.17,5.58
feeder,5.18,4.22,4.95
feel,6.27,4.05,5.5
feeling,6.5,3.86,6.5
feign,4.45,3.72,5.05
feisty,5.76,6.3,6.11
feline,6.86,3.58,5.86
feller,4.82,3.14,4.5
fellow,6.28,3.05,6.0
fellowship,6.43,2.91,5.94
felon,2.2,4.95,3.36
felony,2.42,4.95,4.31
female,7.52,5.9,6.42
feminine,7.33,4.32,5.09
femininity,6.25,4.48,5.86
feminist,4.26,3.89,5.12
femme,6.17,4.4,4.84
femoral,4.5,4.28,4.52
femur,4.55,3.06,5.25
fence,5.05,2.7,5.2
fencing,5.17,3.86,5.9
fend,4.82,4.74,5.86
fender,5.11,3.25,5.06
fennel,5.35,3.59,6.29
fern,6.52,3.15,4.67
ferocious,3.21,6.67,3.96
ferret,4.89,4.11,4.25
ferry,6.3,2.71,5.43
ferryboat,5.86,4.1,5.28
fertile,7.0,5.41,4.92
fertility,5.85,4.72,4.55
fertilize,5.45,4.27,6.52
fertilizer,4.45,3.45,5.63
fess,3.57,3.43,5.0
fest,6.57,4.78,5.23
festival,6.84,5.86,5.6
festive,7.14,5.67,6.55
fetal,3.95,4.36,4.17
fetch,5.32,4.05,5.6
fetish,5.0,4.67,4.8
fetus,4.74,4.24,4.6
feud,4.04,5.1,4.25
fever,2.92,5.02,3.12
feverish,3.09,5.35,3.79
fiancee,7.14,5.04,6.05
fiasco,4.05,5.28,3.0
fib,3.15,5.6,4.68
fiber,5.42,3.58,5.36
fiberglass,4.37,2.59,4.61
fibrosis,3.26,4.1,4.87
fickle,4.75,5.25,4.46
fiction,6.47,4.7,6.45
fictional,5.95,3.61,5.89
fictitious,5.85,4.38,4.64
fiddle,5.05,4.05,4.85
fiddler,5.62,3.87,5.94
fidelity,6.7,3.83,6.68
field,5.73,3.84,5.74
fielder,4.72,4.19,5.22
fiend,3.77,5.18,3.9
fiendish,3.95,4.72,3.89
fierce,4.0,5.7,5.7
fiery,5.7,5.64,5.89
fiesta,6.72,6.22,5.29
fifteen,4.94,3.65,4.76
fifty,4.74,3.45,5.9
fig,5.23,4.22,6.05
fight,3.54,6.33,4.68
fighter,5.1,5.3,6.42
figment,5.0,4.35,5.0
figure,5.09,3.67,5.39
file,5.44,3.4,4.61
filet,6.14,3.18,5.14
fill,5.56,3.35,6.78
filler,4.9,3.89,5.85
fillet,6.7,4.62,5.35
filly,5.05,2.92,4.47
film,6.33,4.1,6.17
filmmaker,5.48,3.96,5.72
filter,5.5,3.62,5.62
filth,2.62,4.09,4.07
filthy,3.42,4.65,4.46
filtration,5.55,4.17,5.71
fin,5.27,4.45,5.45
final,4.56,4.4,3.94
finale,5.26,4.27,5.65
finalist,6.24,3.3,5.78
finality,4.43,4.18,4.52
finalize,5.6,4.85,5.78
finance,4.81,5.6,4.57
financial,5.0,4.55,4.82
finch,4.74,3.52,5.0
find,6.45,3.52,6.24
finder,5.77,4.35,5.79
fine,6.5,3.86,5.78
finesse,6.0,3.86,6.58
finger,5.8,4.15,5.32
fingernail,5.57,3.5,4.73
fingerprint,5.25,3.29,4.56
finish,6.41,3.81,6.44
finite,5.68,4.43,4.79
fir,5.0,3.0,5.5
fire,4.32,6.05,4.57
firearm,4.0,4.54,5.89
fireball,3.71,6.13,4.19
firecracker,5.7,6.67,4.64
firefight,4.32,5.5,5.0
firefighter,6.6,4.94,5.14
firefly,7.05,4.85,5.27
firehouse,5.16,4.73,4.58
firelight,6.38,3.58,5.55
fireman,6.47,4.52,5.0
fireplace,5.95,5.2,5.56
firepower,5.84,5.91,6.26
fireside,6.0,4.0,5.64
firewall,4.43,4.91,4.76
firewood,6.09,4.58,5.95
fireworks,6.8,6.05,5.61
firm,5.36,4.3,6.58
firmament,5.1,3.65,5.0
first,7.33,4.9,6.38
firstborn,6.65,5.65,5.24
fiscal,4.15,4.05,5.23
fish,6.42,3.33,6.08
fisherman,5.42,4.06,5.47
fishing,7.05,3.6,6.33
fishy,4.2,3.11,3.59
fissure,4.3,4.18,4.59
fist,2.95,4.85,4.95
fistfight,4.0,6.23,4.43
fistful,5.4,4.1,4.76
fit,6.28,4.35,6.11
fitness,6.45,5.32,6.96
five,5.4,3.55,5.65
fiver,5.24,4.87,4.3
fix,6.11,3.6,6.72
fixable,6.84,3.48,6.52
fixation,4.11,4.11,3.73
fixer,6.39,2.67,6.7
fixture,5.05,2.9,5.5
fizz,5.38,4.57,5.94
fjord,5.53,3.19,4.2
flabby,3.39,3.39,4.81
flaccid,3.55,3.14,4.84
flag,6.1,3.74,5.56
flagpole,5.11,3.19,5.05
flagrant,4.0,4.91,4.63
flagship,5.45,3.57,5.12
flagstaff,5.5,3.9,4.97
flair,5.89,4.32,6.09
flak,4.55,4.64,5.29
flake,4.58,3.48,4.11
flaky,3.58,3.5,3.65
flamboyant,5.0,5.52,5.15
flame,5.9,6.6,4.64
flamethrower,5.27,6.0,4.59
flaming,4.64,5.95,4.67
flamingo,6.74,4.59,6.19
flammable,4.25,5.95,4.54
flan,5.86,3.19,6.23
flank,4.95,3.91,5.58
flannel,5.55,2.32,4.68
flap,5.74,3.45,4.58
flare,5.4,4.86,5.84
flares,4.57,5.18,5.0
flash,5.53,5.38,4.94
flashback,5.0,4.71,4.18
flashlight,6.0,4.04,6.06
flashy,4.85,5.77,5.78
flask,5.5,4.24,5.17
flat,4.43,3.04,4.0
flatbed,4.86,3.38,5.43
flatfoot,4.33,3.1,4.32
flatten,5.24,3.52,5.53
flatter,6.1,4.61,6.0
flattered,6.32,5.14,5.95
flattering,7.14,4.92,6.36
flattery,5.74,5.1,5.91
flatulence,3.79,5.95,4.35
flaunt,4.39,4.15,5.17
flavor,6.45,4.41,6.95
flaw,4.1,3.84,4.21
flawed,3.74,4.18,5.11
flawless,7.05,4.05,6.55
flea,3.0,3.0,4.42
fleabag,3.4,4.35,4.32
flee,3.84,4.95,5.0
fleece,5.79,3.71,5.64
fleet,5.4,4.43,6.24
flesh,5.2,4.11,5.29
fleshy,4.89,5.3,3.95
flex,5.32,4.8,6.04
flexibility,6.9,4.5,6.73
flexible,6.74,4.45,6.68
flick,5.41,4.31,6.46
flicker,5.5,5.15,5.38
flier,4.19,4.43,4.85
flight,6.11,4.2,5.33
flighty,4.9,4.88,4.32
flimsy,4.0,3.77,4.2
flinch,4.0,5.28,4.12
fling,5.68,4.95,6.1
flip,5.6,4.62,5.32
flipper,5.84,3.05,5.15
flipping,5.33,3.95,5.0
flirt,6.73,5.93,5.8
flirtation,5.78,6.29,5.78
flirty,6.52,5.91,5.56
float,6.42,3.1,5.91
floater,4.2,3.06,4.33
flock,5.25,3.48,5.38
flood,2.76,5.31,3.16
floor,5.14,3.33,6.39
flooring,5.32,3.0,6.0
floozy,3.95,4.89,4.38
flop,3.95,3.41,4.79
floppy,4.61,4.45,4.65
floral,7.42,2.73,5.15
florist,6.55,3.19,5.82
floss,5.0,3.48,5.69
flotation,5.6,3.61,4.71
flounder,5.32,4.0,4.32
flour,5.25,3.26,5.86
flourish,7.21,5.22,6.17
flow,5.68,3.71,5.4
flower,7.3,3.67,6.43
flowery,7.47,3.81,5.57
flu,2.58,4.0,2.8
flue,4.45,2.86,4.32
fluent,6.53,3.9,5.74
fluff,6.18,3.54,6.12
fluffy,7.11,3.45,6.11
fluid,5.05,4.04,5.75
fluke,4.3,4.94,3.58
flunk,1.95,3.72,4.23
flunky,2.89,3.15,4.95
fluorescent,5.16,3.85,5.15
flurry,5.68,4.18,5.25
flush,4.67,4.35,5.62
flute,6.29,3.72,5.84
flutter,5.7,4.86,5.37
flux,4.17,4.18,4.79
fly,6.06,4.9,5.28
flyboy,4.7,4.33,4.97
flyer,4.95,3.76,5.4
foam,5.25,2.9,5.1
focal,4.85,3.94,6.41
focus,6.48,4.45,6.84
foe,3.15,4.71,3.82
fog,5.77,3.67,4.05
foggy,4.65,3.68,4.21
foil,4.57,3.7,5.04
fold,5.19,3.0,6.67
folder,5.7,2.33,5.42
foliage,5.68,4.25,6.21
folk,6.17,2.45,6.0
folklore,6.32,4.1,4.85
follow,4.82,3.76,4.81
follower,4.86,3.4,4.58
folly,4.11,4.56,3.65
fond,6.79,3.26,6.42
fondle,4.32,5.18,4.88
fondness,7.68,3.55,6.82
fondue,6.0,3.71,6.5
font,5.09,3.38,6.45
food,7.52,4.69,6.08
fool,3.56,4.86,2.94
foolhardy,3.86,5.05,4.71
foolish,3.0,4.57,3.9
foolishness,4.1,4.6,4.26
foolproof,5.82,4.36,6.0
foot,4.68,2.77,5.97
footage,5.33,3.12,5.71
football,6.52,5.65,5.42
foothold,5.2,3.83,5.1
footing,5.13,2.95,5.57
footlocker,5.05,4.25,5.27
footloose,6.05,4.62,5.38
footprint,6.0,2.96,6.37
footwear,6.43,4.0,5.18
footwork,5.74,3.96,5.58
forbid,2.82,4.85,4.48
forbidding,3.82,5.05,3.57
force,4.17,5.35,4.22
forceful,3.7,5.36,5.53
forceps,3.8,4.57,5.86
forces,5.58,4.33,5.48
ford,5.79,2.85,6.0
fore,5.05,4.32,5.52
forearm,5.58,3.75,6.35
foreboding,3.53,5.3,3.48
forecast,4.89,3.7,4.73
foreclose,2.0,6.0,2.92
foreclosure,1.75,5.9,3.08
forefront,4.95,4.69,6.08
forego,4.89,4.33,5.32
foregone,5.06,3.32,4.16
foreground,5.47,2.68,5.11
forehead,5.04,3.14,6.5
foreign,4.86,5.43,4.79
foreigner,4.68,3.24,4.33
foreman,4.89,3.55,5.08
foremost,5.27,3.81,6.04
forensic,4.42,5.06,4.75
forensics,5.86,4.36,5.14
foreplay,6.4,6.71,5.92
foresee,5.67,3.64,6.05
foresight,5.79,3.5,6.13
forest,6.68,4.44,5.71
forevermore,6.48,4.3,5.0
forfeit,3.68,4.74,4.43
forge,5.0,4.16,5.55
forger,3.95,5.05,4.71
forgery,2.6,4.86,3.4
forget,3.73,4.43,3.5
forgetful,3.59,4.45,4.45
forgetfulness,3.8,4.55,4.19
forgive,7.06,3.62,6.44
forgiveness,6.86,4.04,6.26
forgiving,6.74,3.95,6.45
fork,5.47,3.35,6.02
forklift,4.74,4.17,5.0
forlorn,3.95,4.08,3.73
form,5.64,3.85,6.47
formal,5.37,4.48,5.61
formaldehyde,2.9,3.85,3.59
formality,4.9,3.45,5.68
format,5.19,2.73,4.81
formation,5.58,4.0,5.0
formidable,5.52,3.96,5.56
formula,5.3,3.61,4.73
formulate,5.22,2.64,5.46
fornicate,4.67,5.43,5.62
fornication,5.95,6.65,6.59
forsake,3.58,3.32,4.05
forte,5.7,3.57,6.42
forthcoming,5.1,4.09,6.0
forthright,6.3,3.43,5.8
fortitude,6.26,4.59,6.75
fortnight,5.5,3.05,5.56
fortress,4.82,3.77,6.55
fortuitous,6.55,5.05,6.12
fortunate,7.33,3.81,5.83
fortune,7.24,5.8,6.68
forty,5.0,3.32,5.89
forum,5.05,4.47,5.48
forwarding,5.23,3.73,6.0
fossil,6.0,4.1,4.75
foul,3.0,4.09,4.11
foundation,5.86,2.41,6.41
founder,5.45,3.95,5.69
founding,5.42,2.75,5.36
foundry,5.32,3.23,4.96
fountain,6.26,3.1,5.9
four,5.26,3.39,5.65
foursome,4.14,5.17,5.29
fourteen,5.42,3.62,5.32
fowl,4.57,4.05,5.8
fox,5.52,4.36,5.5
foxhole,5.35,5.0,5.1
foxtrot,5.83,5.0,5.54
foxy,6.0,4.75,5.3
foyer,5.95,3.55,5.54
fraction,5.21,3.95,5.09
fracture,3.62,5.27,4.2
fragile,4.67,3.05,4.0
fragment,4.59,3.55,4.8
fragrance,6.67,4.72,6.56
fragrant,7.05,4.85,6.0
frail,3.55,2.65,3.04
frame,5.32,4.04,5.78
framework,5.74,3.11,5.77
franc,5.21,3.71,5.12
franchise,5.0,4.1,5.48
frantic,3.79,5.39,3.59
frat,4.29,3.64,4.63
fraternity,4.89,4.64,5.41
fraud,2.05,5.18,3.48
fraught,2.94,4.32,4.05
fray,4.26,4.5,4.12
frayed,4.05,3.2,4.6
freak,3.73,6.3,5.11
freakish,3.71,5.12,4.86
freaky,4.26,6.05,4.21
freckle,5.53,3.36,4.43
free,8.25,5.38,6.5
freebie,7.3,6.1,6.05
freedom,7.72,5.67,7.37
freelance,6.05,4.2,6.0
freelancer,5.89,4.05,5.96
freeman,6.62,4.42,6.41
freestyle,6.42,5.45,6.26
freeway,5.32,4.67,4.96
freeze,4.64,4.0,5.89
freezer,5.32,2.7,5.12
freezing,3.33,5.84,4.16
freight,4.21,3.78,4.8
freighter,4.83,3.7,5.16
frenzy,4.2,5.96,4.0
frequency,5.19,4.87,5.62
frequent,5.57,4.05,5.88
fresh,6.67,2.35,6.28
freshen,6.56,4.68,7.25
freshener,5.71,4.17,6.19
freshman,5.05,3.82,3.78
freshness,7.43,4.1,6.29
freshwater,7.29,2.82,5.76
fret,3.73,5.89,4.24
friar,5.2,3.26,5.62
friction,4.0,5.05,4.24
fridge,6.29,4.6,5.69
fried,5.82,4.09,6.05
friend,6.79,4.29,6.31
friendless,3.15,4.18,4.63
friendly,7.84,4.27,7.6
friendship,7.76,5.2,6.95
fright,3.26,5.0,3.95
frighten,2.95,4.85,2.71
frightened,2.45,5.61,3.05
frightening,2.58,4.73,3.39
frightful,2.95,5.2,3.55
frigid,3.77,3.87,5.61
fringe,5.16,4.52,4.48
frisbee,6.35,3.33,6.14
frisk,4.8,6.6,4.83
frisky,6.57,6.05,6.23
frivolous,4.65,4.22,4.27
frock,4.67,4.48,4.71
frog,5.84,4.07,5.5
froggy,5.71,3.36,4.78
frolic,6.05,4.17,6.05
frontal,5.95,4.09,6.0
frontier,6.53,3.95,4.32
frostbite,2.1,7.05,4.0
frosted,6.6,3.92,5.0
frosting,7.33,4.4,5.73
frosty,6.15,4.61,5.0
frown,3.35,3.61,4.95
fruit,7.0,4.09,6.12
fruitcake,5.29,3.43,5.42
fruitful,7.11,4.14,6.91
fruitless,2.95,3.25,3.59
fruity,6.71,5.26,6.0
frustrated,2.55,5.4,3.85
frustrating,2.57,5.48,3.72
frustration,2.45,5.94,3.27
fry,5.95,5.0,6.44
fryer,4.89,4.3,5.39
fuchsia,5.14,3.78,5.72
fuck,5.23,7.14,5.47
fucker,3.52,6.32,4.33
fucking,5.09,6.86,4.94
fudge,7.62,4.91,5.86
fuel,4.1,3.96,6.21
fugitive,2.74,5.26,4.0
fulfill,7.33,3.67,6.2
fulfillment,6.37,5.56,5.82
full,6.0,3.48,6.06
fullback,4.62,4.19,5.2
fullness,6.19,3.2,6.27
fumble,3.7,5.0,4.67
fun,8.37,6.32,7.04
function,5.55,4.1,6.18
functional,5.58,3.85,5.26
fund,6.55,4.59,6.05
fundamental,4.95,3.56,5.33
fundamentalist,4.47,4.14,4.36
funding,5.45,3.95,4.73
fundraiser,5.68,4.29,5.27
fundraising,5.63,4.85,6.86
funeral,2.07,4.1,3.06
fungus,2.79,4.67,3.61
funk,3.2,4.52,4.68
funky,5.85,4.9,5.4
funnel,5.32,2.95,4.35
funny,7.59,5.38,6.33
fur,5.65,3.64,6.11
furious,2.57,6.09,3.89
furlong,4.58,3.72,5.71
furlough,4.95,3.35,5.16
furnace,5.11,3.24,4.82
furnish,5.65,3.86,6.41
furnishings,6.25,3.22,6.43
furniture,5.79,3.05,5.43
furry,6.63,3.7,5.26
fury,2.73,6.12,4.62
fuse,5.05,3.77,5.81
fuselage,4.5,3.06,5.04
fusion,5.6,5.0,4.83
fuss,3.32,4.77,3.5
fussy,2.71,3.61,3.83
futile,3.82,4.71,3.23
futility,3.8,4.45,3.7
futon,5.52,2.82,4.93
future,6.68,5.33,5.53
fuzz,4.64,3.9,5.41
fuzzy,6.53,3.95,4.29
gab,5.2,3.78,4.04
gad,5.15,3.15,5.04
gadget,5.74,3.86,5.36
gaff,3.89,3.9,4.4
gag,4.43,3.59,3.81
gaga,4.58,5.8,4.58
gaggle,5.16,3.95,5.7
gaiety,5.52,4.61,4.27
gain,5.9,4.33,6.82
gal,5.27,4.43,5.53
gala,6.16,4.67,5.95
galactic,7.0,5.8,4.77
galaxy,5.95,5.61,4.76
gall,4.3,3.5,4.85
gallant,6.38,5.55,5.42
gallbladder,4.35,2.75,3.64
gallery,6.9,3.32,5.68
galley,4.56,3.71,4.79
gallon,5.67,3.4,5.32
gallop,6.21,4.41,4.86
gallows,3.05,5.05,4.48
galore,5.95,3.86,6.04
gamble,4.81,5.32,3.74
gambler,4.15,5.8,4.44
gambling,2.89,5.91,4.11
game,6.79,5.05,5.84
gaming,5.67,5.23,6.29
gamma,6.25,4.8,4.86
gander,5.55,2.86,5.33
gang,2.71,6.55,5.37
gangland,3.24,4.26,3.83
gangrene,2.5,5.38,3.12
gangster,2.59,6.36,4.16
gangway,4.5,4.28,5.12
gap,4.91,3.6,4.71
gaping,4.52,5.84,4.94
garage,5.5,4.1,6.11
garbage,2.88,3.84,5.15
garbled,4.0,3.72,4.45
garden,7.25,3.71,6.13
gardener,6.35,2.95,6.77
gardening,6.86,3.2,6.32
gargle,5.1,3.48,6.61
gargoyle,3.95,4.38,4.56
garlic,5.67,4.12,6.62
garment,5.57,3.5,5.84
garnet,6.11,4.24,5.3
garnish,5.85,3.7,5.33
garrison,4.67,4.04,4.55
garter,5.47,4.35,5.14
gas,4.06,4.4,4.17
gash,3.89,4.9,3.9
gasket,4.45,3.42,5.0
gasoline,4.63,4.57,3.63
gasp,4.5,5.61,4.68
gassy,3.21,3.5,4.26
gastric,3.91,4.16,4.43
gate,5.32,4.5,5.95
gatekeeper,5.4,3.9,5.08
gateway,5.75,3.81,6.16
gather,5.72,3.7,6.16
gator,4.14,5.95,3.7
gatorade,5.7,3.95,5.48
Gatorade,6.0,3.84,5.44
gaudy,3.55,4.33,5.8
gauge,5.17,3.5,5.23
gauntlet,4.76,4.43,5.29
gauze,4.5,3.2,4.76
gavel,4.3,2.72,4.21
gay,6.11,4.05,4.78
gaze,6.15,4.15,6.35
gazebo,6.52,3.5,5.3
gazelle,6.47,4.05,5.2
gazette,5.05,4.18,5.16
gazillion,5.95,5.57,4.21
gear,5.19,3.17,5.9
geek,5.56,3.82,5.5
geeky,5.55,3.8,6.45
geezer,3.65,3.29,3.33
geisha,5.74,4.24,5.0
gel,5.67,3.21,5.25
gelatin,4.35,4.05,5.47
gelding,4.89,3.59,5.48
gem,7.35,4.44,6.09
gender,5.05,4.05,5.42
genealogy,5.85,3.94,4.96
general,5.32,3.71,5.24
generate,6.14,4.0,5.45
generation,6.08,4.24,5.23
generator,5.65,3.62,5.48
generic,4.5,2.5,4.68
generosity,7.55,4.29,6.56
generous,7.43,5.7,6.81
genetic,4.79,3.83,3.76
genetics,4.84,4.27,3.29
genie,6.1,4.41,5.32
genital,4.45,5.86,4.74
genitalia,4.16,5.77,5.12
genius,7.52,6.2,7.37
genocide,1.62,5.83,2.5
genome,5.84,3.41,4.32
genre,6.0,3.59,5.0
gent,5.86,3.05,5.1
genteel,5.09,2.38,6.0
gentile,5.29,3.09,5.56
gentle,7.42,3.17,6.95
gentleman,7.5,4.14,6.06
gentlemanly,6.77,3.91,7.0
gentry,5.45,2.57,6.12
genuine,7.11,4.27,7.5
geographic,6.21,3.05,4.57
geographical,6.21,3.18,4.65
geography,5.4,2.56,4.45
geological,6.43,3.95,5.61
geologist,6.62,3.75,5.81
geology,5.89,4.3,4.74
geometric,5.24,4.21,5.36
geometry,4.57,3.09,5.04
gerbil,5.2,2.59,5.38
geriatric,3.58,2.55,3.85
germ,2.5,4.1,3.65
germs,2.68,5.28,3.0
gesture,5.75,4.36,5.85
get,6.09,3.67,5.65
getaway,5.47,3.6,6.47
getup,5.53,4.36,5.68
ghastly,3.05,5.0,3.95
ghetto,3.16,7.05,3.77
ghost,4.23,5.7,4.47
ghostly,4.14,5.71,4.14
ghoul,2.84,4.95,4.3
giant,5.41,5.1,6.68
gibberish,4.3,4.62,5.21
giddy,6.17,5.32,6.4
gift,7.27,4.64,6.32
gifted,6.62,4.43,6.67
gig,6.48,5.75,5.14
gigantic,5.35,5.89,5.54
giggle,7.95,5.39,4.75
gigolo,4.4,4.32,5.32
gilded,4.94,3.15,5.28
gimmick,3.89,4.63,3.48
gimp,2.9,3.29,3.64
gin,5.82,4.19,5.91
ginger,5.79,4.43,5.47
gingerbread,7.0,4.18,6.18
ginseng,5.79,4.05,4.96
giraffe,6.52,2.91,5.27
girder,4.53,3.53,4.5
girdle,3.94,4.35,4.68
girl,7.15,5.23,5.27
girlfriend,7.56,5.05,5.0
girlie,5.35,4.95,5.54
girlish,6.22,3.45,5.0
girly,5.32,4.45,5.65
girth,4.65,4.39,4.69
gist,5.2,4.05,5.8
give,7.73,4.57,5.72
giveaway,6.17,5.48,4.75
giver,7.14,3.83,7.29
gizmo,6.26,4.18,5.74
gizzard,3.86,3.86,5.05
glacier,5.5,3.88,4.55
glad,7.55,3.71,7.0
glade,6.32,2.82,5.68
gladiator,5.21,5.05,4.86
glamorous,6.58,4.81,6.22
glamour,6.0,5.05,6.09
glance,5.71,2.63,5.48
gland,4.39,4.14,5.09
glare,3.7,4.05,5.53
glass,5.48,3.14,5.42
glaucoma,2.47,3.45,2.91
glaze,5.63,3.56,5.18
glazed,6.7,4.36,5.86
gleam,5.95,3.65,7.0
gleaming,6.22,4.95,5.2
glee,6.95,4.76,6.79
glide,6.1,4.58,6.23
glider,5.89,3.73,5.3
glimmer,6.68,4.58,5.79
glimpse,5.67,3.59,5.75
glisten,6.5,5.28,6.0
glitch,4.11,3.91,3.5
glitter,6.15,4.86,6.24
gloat,3.68,3.75,6.1
global,5.57,3.7,4.77
globe,6.15,3.36,5.4
gloom,2.89,3.9,4.07
gloomy,3.15,3.32,3.15
glorified,5.9,4.59,6.11
glorious,6.9,4.67,6.7
glory,6.45,6.31,6.72
gloss,6.0,4.82,5.52
glossy,5.42,4.33,5.88
glove,6.11,3.57,6.0
gloves,5.2,3.17,5.75
glow,6.55,4.95,5.38
glucose,3.59,4.25,4.05
glue,4.85,3.75,5.43
glum,2.82,3.58,4.62
glutton,3.53,4.4,3.68
gnat,3.43,2.75,3.65
gnome,6.24,4.21,4.21
go,6.32,4.86,5.33
goal,6.79,4.67,6.57
goalie,5.71,3.21,5.77
goat,5.3,2.94,5.17
goatee,5.48,3.48,5.62
gobble,5.5,4.96,5.28
goblin,3.16,4.7,3.84
god,5.9,5.56,5.0
goddamn,3.81,5.81,4.59
goddamned,3.36,6.05,4.65
goddess,6.63,4.55,5.75
godfather,6.24,2.83,4.78
godforsaken,3.62,4.3,3.78
godless,3.65,4.76,5.16
godlike,6.15,5.64,6.38
godmother,6.52,4.95,5.56
godsend,6.8,3.75,5.41
godson,6.05,3.05,6.44
goggle,5.0,3.2,6.15
goggles,6.21,4.26,6.0
gold,7.28,6.35,5.8
golden,7.79,4.25,5.67
goldfish,6.62,2.95,5.05
golf,5.67,3.68,5.81
golfer,5.46,3.0,5.56
golfing,5.55,3.11,5.55
gondola,5.48,4.09,5.28
goner,2.91,4.65,3.0
gonorrhea,1.65,4.52,2.92
goo,4.68,3.65,4.59
goober,6.09,4.29,5.25
good,7.89,3.66,6.41
goodie,6.1,4.47,5.88
goodness,7.38,5.2,7.37
goodwill,6.47,4.95,6.9
goody,6.73,3.33,6.36
gooey,5.29,4.68,4.86
goof,5.35,4.24,6.08
goofball,5.39,4.57,5.37
goofy,6.71,5.05,5.72
goon,3.53,4.76,4.74
goop,4.21,3.55,3.61
goose,5.68,3.29,4.76
gopher,5.37,3.58,4.67
gorge,4.5,4.26,5.33
gorgeous,7.57,4.92,7.05
gorilla,4.26,4.95,4.88
gory,2.57,5.1,4.32
gospel,5.28,2.7,3.84
gossip,3.5,3.91,3.94
gothic,4.7,4.95,5.69
gouge,3.14,4.75,4.62
goulash,4.86,4.4,5.42
gourd,5.33,4.1,5.29
gourmet,7.25,6.0,5.54
gout,3.67,4.2,3.81
govern,4.52,3.91,4.91
governess,5.53,2.82,5.17
government,3.78,3.75,3.11
governmental,2.89,3.8,3.04
governor,5.32,3.65,6.05
Governor,4.53,3.82,4.79
gown,6.0,3.86,5.5
grab,5.44,4.5,5.28
graceful,6.95,4.0,6.52
gracious,7.23,3.23,7.05
grad,6.81,4.12,6.9
grade,5.18,4.75,6.74
grader,5.26,3.38,5.17
gradual,5.1,2.95,5.84
graduate,7.26,4.52,7.18
graduation,6.47,5.83,5.59
graffiti,4.24,5.43,5.28
graft,3.58,3.68,4.17
grail,5.05,4.08,5.71
grain,5.83,1.6,5.12
gram,5.15,4.18,4.89
grammar,6.25,4.21,6.76
grand,6.28,3.75,6.0
grandchild,7.0,3.9,5.68
granddad,7.32,2.95,5.55
granddaddy,7.0,3.38,5.09
granddaughter,6.86,4.6,5.33
grandeur,6.42,4.77,5.67
grandfather,5.68,3.77,6.15
grandiose,5.24,4.84,5.1
grandma,7.5,3.2,5.39
grandmother,7.62,3.75,6.32
grandpa,7.43,3.7,5.05
grandson,6.22,3.36,5.39
grandstand,4.9,4.91,6.21
granite,5.05,3.76,4.6
granny,5.71,2.38,5.0
granola,6.05,3.14,5.7
grape,6.7,3.5,5.88
grapefruit,5.77,3.68,5.96
grapevine,5.9,3.19,5.38
graph,5.2,3.45,6.15
graphic,5.1,4.7,5.08
graphics,6.67,4.65,5.0
graphite,5.05,3.78,5.53
grappling,5.11,4.9,5.46
grasp,5.45,4.05,6.48
grass,6.47,3.39,5.67
grasshopper,6.05,4.43,5.82
grassy,6.0,3.09,5.68
grate,4.68,4.08,5.96
grateful,7.5,4.29,7.0
gratification,7.71,4.53,6.18
gratifying,6.65,4.89,6.26
gratitude,6.67,5.09,6.71
grave,2.4,4.54,3.73
gravel,4.42,2.95,4.8
graveyard,3.25,4.89,3.79
gravitational,4.91,5.0,4.37
gravity,5.81,4.85,4.48
gravy,6.21,3.85,5.87
gray,3.68,2.81,4.77
graze,5.26,3.57,5.65
grease,3.9,3.62,4.96
greased,5.23,4.64,5.63
greaser,4.67,4.6,4.94
greasy,2.94,4.55,3.88
great,7.5,4.14,6.65
greatness,7.76,4.43,6.76
greed,2.48,4.45,4.0
greedy,2.1,4.76,4.0
green,6.29,4.07,5.64
greenhouse,6.4,3.6,5.84
greet,6.25,3.86,6.54
greeting,5.89,4.94,6.29
grenade,3.51,6.86,3.72
greyhound,5.95,3.9,5.26
grid,5.2,3.15,5.18
grief,2.33,4.95,3.26
grievance,3.45,3.74,4.33
grieve,2.8,4.56,3.38
grieving,2.9,5.05,3.23
grievous,3.14,3.92,5.25
grill,6.64,5.26,5.62
grilled,6.67,3.89,5.32
grim,2.41,4.48,4.18
grimy,3.63,4.4,4.08
grin,7.66,5.65,5.58
